,player,DRAPM,ORAPM,Total_RAPM
118,Adelaide Jernigan,-2.3588,-0.4038,-2.7627
119,Adelyn Traylor-Walker,-0.6827,-0.2614,-0.9442
120,Adena Webster,0.8533,-0.4588,0.3946
121,Adhel Tac,1.6601,-0.6644,0.9957
122,Adia Brisker,0.0169,-0.8162,-0.7993
123,Adiana Pacheco,-0.8186,-1.2265,-2.0451
124,Adison Novosel,-1.7976,2.2223,0.4247
125,Adlee Blacklock,0.2374,1.9071,2.1444
126,Adna Halilbasic,2.8936,-0.3722,2.5213
127,Adout Ring,-0.1143,-1.1158,-1.2301
128,Adreanna Waddle,-1.0228,-0.1577,-1.1804
129,Adria Lincoln,-1.5555,-0.4569,-2.0124
130,Adriana Arroyo,-3.2303,1.3812,-1.8491
131,Adriana Blazquez,0.805,-1.7543,-0.9493
132,Adriana Jones,0.8842,4.1893,5.0735
133,Adriana Shipp-Davis,-0.8196,-0.6927,-1.5123
134,Adrianna Gonzalez,0.3106,-1.4268,-1.1162
135,Adrianna Katcher,2.6674,-0.8001,1.8673
136,Adrianna Smith,5.1502,5.3259,10.4762
137,Adrien LaMora,0.0061,1.1626,1.1687
138,Adryana Quezada,0.8445,3.2904,4.1349
139,Adyson James,0.7535,-1.0125,-0.259
140,Aerial Wilson,2.6245,3.9998,6.6243
141,Afia Owusu-Mensah,0.0233,1.0748,1.098
142,Aga Makurat,-1.2226,4.0022,2.7796
143,Agnes Emma-Nnopu,5.4203,8.101,13.5213
144,Agnes Svansdottir,-1.5072,-0.9606,-2.4677
145,Agot Makeer,3.4034,0.51,3.9134
146,Ahmya Boyce,-1.8086,-3.1729,-4.9814
147,Ahnay Adams,4.6649,3.094,7.7589
148,Ahniysha Jackson,0.7042,0.8117,1.5158
149,Ahriahna Grizzle,0.4419,2.6009,3.0428
150,Ahrray Young,2.3801,0.5331,2.9132
151,Aicha Coulibaly,7.8805,6.912,14.7925
152,Aicha Dia,0.5142,-2.8264,-2.3121
153,Aicha Ndour,-0.0619,-3.7989,-3.8607
154,Aijah Palmore,-0.4601,0.6658,0.2057
155,Aijha Blackwell,1.3206,2.678,3.9986
156,Aileen Marquez,1.4623,-4.4851,-3.0229
157,Aili Tanke,2.6067,1.6448,4.2515
158,Aima Ofunrein,-2.3215,-1.3078,-3.6293
159,Aimee Flippen,0.1207,-0.5429,-0.4222
160,Aina Cargol,2.1753,3.4066,5.5819
161,Aina Grane Torres,1.6092,-2.0,-0.3908
162,Aina Roque,1.6856,0.0852,1.7708
163,Aina Subirats,1.4201,-0.5502,0.87
164,Ainaya Williams,0.1058,-1.3944,-1.2886
165,Ainhoa Cea,0.1538,1.8387,1.9924
166,Ainsley Holthaus,1.279,2.5234,3.8024
167,Airah Lavy,-3.177,0.4564,-2.7205
168,Aisha Dabo,-0.1727,-2.7708,-2.9435
169,Aisha Marten-Coney,0.7832,0.2947,1.0779
170,Aislin Malcolm,0.0294,-2.3171,-2.2876
171,Aislinn Gibson,0.2033,-1.7612,-1.5579
172,Aislynn Hayes,-3.0691,2.4776,-0.5915
173,Aisse Coulibaly,-1.7395,-1.9334,-3.6729
174,Aixa Wone Aranaz,2.1691,-0.284,1.8852
175,Aixchel Hernandez,1.302,-0.6819,0.62
176,Aiyana Mitchell,2.0747,4.5616,6.6363
177,Aiyanna Culver,-1.6419,-0.8598,-2.5017
178,Aizhanique Mayo,0.7533,3.3835,4.1368
179,Aja Austin,-0.0148,-1.0987,-1.1135
180,Ajae Petty,3.0486,3.8552,6.9039
181,Ajae Yoakum,0.3602,-0.8837,-0.5234
182,Ajia James,0.4233,1.6236,2.0469
183,Ajok Madol,1.501,1.2767,2.7777
184,Ajulu Thatha,4.3501,5.4251,9.7752
185,Akasha Davis,2.932,7.1234,10.0554
186,Akeelah Lafleur,2.3612,-0.1771,2.1841
187,Akyriale Ford,0.5483,-3.1205,-2.5722
188,Alahna Paige,1.9227,1.3085,3.2313
189,Alaina Harper,-0.5447,-0.1395,-0.6842
190,Alaina Nettles,-2.1821,1.5597,-0.6224
191,Alaina Payne,1.7594,-1.3914,0.368
192,Alaina Rice,1.2256,1.9772,3.2028
193,Alaina Williams,4.3792,-4.7689,-0.3897
194,Alaisha Brown,-0.2367,-2.4376,-2.6743
195,Alana Andrews,0.3148,0.1542,0.469
196,Alana Goodchild,-2.9581,1.2224,-1.7357
197,Alana Goosby,-0.6935,-1.0937,-1.7872
198,Alana Powell,1.5494,-2.2825,-0.7331
199,Alana Reddy,-4.3797,0.2405,-4.1392
200,Alana Rouser,-0.0942,-0.0681,-0.1624
201,Alana Shields,-1.6736,-5.3662,-7.0398
202,Alana Striverson,-4.0667,-0.6332,-4.6998
203,Alana Swift,1.2734,-0.9258,0.3477
204,Alanah Pooler,3.6482,2.2105,5.8586
205,Alancia Ramsey,0.1093,5.1144,5.2237
206,Alani Encinas,-0.2346,-0.4078,-0.6424
207,Alani Fluker,-1.5918,-2.3103,-3.902
208,Alanna Neale,0.3373,0.6214,0.9586
209,Alanna Phillipo,-0.3795,-0.5298,-0.9093
210,Alannah Chatfield,-0.7559,0.344,-0.4119
211,Alarice Gooden,0.4557,1.9895,2.4452
212,Alary Bell,0.9326,1.2819,2.2145
213,Alasia Hayes,1.0457,2.7684,3.814
214,Alasia Smith,4.15,4.7837,8.9337
215,Alaya Fitzgerald,-3.0662,-0.3154,-3.3816
216,Alayna Contreras,-1.8894,-0.0088,-1.8982
217,Alayna Kraus,-3.3119,-0.5486,-3.8605
218,Alayna Rocco,1.8812,-0.7316,1.1496
219,Alayna West,-2.2523,-0.5039,-2.7562
220,Alba Garcia,-3.4518,1.2713,-2.1804
221,Alba Martin Mesa,-0.4741,-0.893,-1.3671
222,Alberte Rimdal,-0.7655,6.1813,5.4159
223,Albina Syla,-0.2372,-0.4266,-0.6638
224,Alden Yergey,0.8039,-0.54,0.2639
225,Ale Civera,-3.1318,-1.468,-4.5999
226,Ale'Jah Douglas,-0.8377,0.261,-0.5767
227,Aleah James,0.5801,-1.4695,-0.8893
228,Aleah Nelson,1.0991,3.6755,4.7746
229,Aleah Snead,-2.2648,0.4861,-1.7787
230,Aleah Sorrentino,-0.804,0.1915,-0.6125
231,Alecia Doyle,-2.965,0.6493,-2.3157
232,Alecia Westbrook,4.5687,1.6882,6.2569
233,Aleighyah Fontenot,2.1683,0.7184,2.8866
234,Alejandra Ferreiros,0.1971,-0.2828,-0.0857
235,Alejandra Mastral,0.8716,-2.2232,-1.3516
236,Alejandra Zuniga,-0.3331,5.3941,5.061
237,Alena Fusetti,-0.5109,0.0578,-0.4532
238,Alex Covill,0.4632,-0.1956,0.2676
239,Alex Cowan,3.747,-0.4756,3.2714
240,Alex Giannaros,-1.0583,1.8668,0.8086
241,Alex Gitchenko,0.4484,-3.23,-2.7815
242,Alex McGarrah,0.2358,0.7731,1.0089
243,Alex Moses,0.2813,-3.0523,-2.771
244,Alex Pirog,-1.3438,-0.5909,-1.9347
245,Alex Richard,0.0135,3.2787,3.2922
246,Alex Rouse,0.6426,-2.3453,-1.7027
247,Alexa Brodie,1.575,-0.4754,1.0995
248,Alexa Hocevar,-0.063,-2.1241,-2.1871
249,Alexa Kinas,0.0841,-2.0554,-1.9713
250,Alexa Lord,-4.5241,-2.7584,-7.2825
251,Alexa Mikeska,3.264,1.4213,4.6853
252,Alexa Washington,0.2467,-0.5509,-0.3042
253,Alexa Zaph,0.1027,2.0457,2.1484
254,Alexandra Eldredge,-2.5324,0.7608,-1.7716
255,Alexandra Eschmeyer,2.6259,1.2226,3.8485
256,Alexandra Wilkinson,0.0238,-0.0509,-0.027
257,Alexandria Johnson,-2.9637,0.3872,-2.5765
258,Alexandria Scruggs,0.2515,2.8531,3.1046
259,Alexi Hempe,-3.4829,4.2981,0.8151
260,Alexia Araujo-Dagba,-2.3498,0.4591,-1.8906
261,Alexia Dizeko,4.3192,4.2696,8.5889
262,Alexia Gassett,2.7239,0.1433,2.8671
263,Alexia Nelson,0.6718,2.7758,3.4477
264,Alexia Smith,4.7947,3.3234,8.1182
265,Alexis Andrews,0.5263,2.2343,2.7606
266,Alexis Black,-2.0953,4.682,2.5867
267,Alexis Calderon,1.0493,-0.2268,0.8224
268,Alexis Callins,-0.4132,0.4791,0.066
269,Alexis Cortez,0.4695,0.4674,0.9369
270,Alexis Cox,1.3158,0.6548,1.9706
271,Alexis Davis,-0.6862,3.1728,2.4867
272,Alexis Hess,0.296,-0.7928,-0.4968
273,Alexis Hutchison,-0.248,3.8442,3.5962
274,Alexis Johnson,-1.2036,1.3909,0.1873
275,Alexis Mark,3.1306,6.4394,9.5701
276,Alexis Markowski,6.207,6.2694,12.4764
277,Alexis Mead,0.2367,7.4799,7.7166
