,player,DRAPM,ORAPM,Total_RAPM
118,Adelaide Jernigan,-1.9507,0.059,-1.8916
119,Adelyn Traylor-Walker,-1.5861,0.663,-0.923
120,Adena Webster,0.5535,-0.2734,0.28
121,Adhel Tac,0.2413,0.8886,1.1299
122,Adia Brisker,-1.0276,0.1013,-0.9263
123,Adiana Pacheco,-0.8565,-0.5817,-1.4382
124,Adison Novosel,-1.9038,1.9157,0.012
125,Adlee Blacklock,-0.683,2.5864,1.9035
126,Adna Halilbasic,1.2586,0.711,1.9697
127,Adout Ring,-0.2633,-0.6583,-0.9215
128,Adreanna Waddle,-2.1351,0.8375,-1.2976
129,Adria Lincoln,-2.4713,0.664,-1.8073
130,Adriana Arroyo,-2.8007,1.2747,-1.526
131,Adriana Blazquez,0.093,-0.8841,-0.7911
132,Adriana Jones,-0.0258,3.867,3.8412
133,Adriana Shipp-Davis,-2.1489,0.233,-1.9159
134,Adrianna Gonzalez,-0.2573,-0.6906,-0.9478
135,Adrianna Katcher,1.1679,-0.0126,1.1553
136,Adrianna Smith,2.5414,6.2417,8.7831
137,Adrien LaMora,-0.4064,1.0731,0.6667
138,Adryana Quezada,-0.5686,4.3535,3.7849
139,Adyson James,0.353,-0.5117,-0.1587
140,Aerial Wilson,1.0683,3.8647,4.933
141,Afia Owusu-Mensah,-0.3726,1.035,0.6624
142,Aga Makurat,-1.8582,4.5685,2.7103
143,Agnes Emma-Nnopu,3.2163,8.2727,11.489
144,Agnes Svansdottir,-1.321,-0.5001,-1.8211
145,Agot Makeer,2.035,1.3925,3.4275
146,Ahmya Boyce,-3.1866,-0.8738,-4.0604
147,Ahnay Adams,2.4522,3.9164,6.3686
148,Ahniysha Jackson,-1.0841,2.1201,1.036
149,Ahriahna Grizzle,-1.1591,2.7243,1.5652
150,Ahrray Young,0.9475,1.0791,2.0266
151,Aicha Coulibaly,5.4068,6.8016,12.2084
152,Aicha Dia,-0.3265,-1.7056,-2.0321
153,Aicha Ndour,-0.7873,-2.2243,-3.0116
154,Aijah Palmore,-1.4064,1.3631,-0.0434
155,Aijha Blackwell,0.3648,2.8025,3.1673
156,Aileen Marquez,-0.4024,-2.41,-2.8124
157,Aili Tanke,1.267,2.2413,3.5083
158,Aima Ofunrein,-2.7752,-0.1383,-2.9136
159,Aimee Flippen,-0.4007,0.0767,-0.324
160,Aina Cargol,0.6672,3.6723,4.3394
161,Aina Grane Torres,0.8114,-1.136,-0.3246
162,Aina Roque,0.9089,0.2824,1.1913
163,Aina Subirats,-0.144,0.525,0.3811
164,Ainaya Williams,-1.1148,-0.5354,-1.6502
165,Ainhoa Cea,-1.3735,3.129,1.7555
166,Ainsley Holthaus,0.5264,2.1813,2.7077
167,Airah Lavy,-3.5376,1.203,-2.3346
168,Aisha Dabo,-1.6457,-1.4507,-3.0964
169,Aisha Marten-Coney,-0.252,0.6704,0.4184
170,Aislin Malcolm,-1.4004,-0.7838,-2.1841
171,Aislinn Gibson,-0.2272,-1.0052,-1.2324
172,Aislynn Hayes,-4.0731,3.6865,-0.3866
