,player,DRAPM,ORAPM,Total_RAPM,team
0,AB Coulibaly,-0.2199,-1.4592,-1.6791,Rider
1,AC Bryant,0.3864,1.4635,1.8499,Jacksonville State
2,AJ Bates,0.6204,1.8582,2.4786,Louisiana Tech
3,AJ Casey,-1.2611,-1.1011,-2.3622,Evansville
4,AJ Clark,-1.2369,-1.8771,-3.1141,VMI
5,AJ Dancler,0.1349,-1.4973,-1.3624,Coastal Carolina
6,AJ Dent,-0.8267,-0.0171,-0.8438,Tarleton State
7,AJ Dybantsa,1.7827,4.9024,6.6851,BYU
8,AJ Economou,0.4662,0.0669,0.5331,Hawaii
9,AJ Fowler,-0.1939,-0.1617,-0.3556,Col. of Charleston
10,AJ George,-1.034,-0.9703,-2.0044,CSU Bakersfield
11,AJ Hopkins,1.8573,-0.5919,1.2654,UT Martin
12,AJ LaBeau,0.2618,0.0707,0.3326,Cornell
13,AJ Levine,0.8332,-0.1331,0.7001,Penn
14,AJ Lopez,-2.3589,1.7282,-0.6307,Richmond
15,AJ McBride,0.0282,-0.0383,-0.0101,Niagara
16,AJ Patterson,-0.4236,-1.675,-2.0986,Air Force
17,AJ Redd,-0.0404,0.0806,0.0402,Illinois
18,AJ Riggs,0.894,0.0533,0.9473,Utah Valley
19,AJ Rohosy,0.7256,2.1431,2.8687,Stanford
20,AJ Smith,0.5092,3.4506,3.9598,Temple
21,AJ Smith,0.5092,3.4506,3.9598,Bradley
22,AJ Staton-McCray,2.2091,0.4196,2.6287,Seton Hall
23,AJ Storr,-2.031,-0.4529,-2.4839,Ole Miss
24,AJ Swinton,0.3595,1.1272,1.4868,Florida State
25,AJ Thomas,0.0202,-0.8286,-0.8083,LMU (CA)
26,AJ Wills,1.2954,0.0647,1.3602,Hofstra
27,AK Okereke,0.5465,2.9667,3.5132,Vanderbilt
28,Aaron Bradshaw,0.9615,0.961,1.9225,Memphis
29,Aaron Clark,-0.1082,0.7806,0.6724,Pepperdine
30,Aaron Davis,-1.088,0.3275,-0.7606,Bryant
31,Aaron Fine,-0.1863,0.0771,-0.1091,Purdue
32,Aaron Franklin,0.6634,-0.2272,0.4362,Milwaukee
33,Aaron Hunkin-Claytor,2.7846,1.5254,4.3099,Hawaii
34,Aaron Jacob,-0.4009,0.519,0.1182,Oral Roberts
35,Aaron McBride,3.0355,1.17,4.2055,LMU (CA)
36,Aaron Nkrumah,1.5913,0.5639,2.1552,Tennessee State
37,Aaron Price,0.1592,-1.2811,-1.1218,Cal Poly
