,player,DRAPM,ORAPM,Total_RAPM,team
0,A'lahn Sumler,-2.2251,3.6137,1.3886,Charleston So.
1,AC Bryant,-3.2362,-1.823,-5.0592,Alabama A&M
2,AD Diedhiou,-0.8178,-1.0109,-1.8287,ULM
3,AJ Allenspach,-1.6012,-2.535,-4.1362,Army West Point
4,AJ Braun,-0.809,3.073,2.264,Wright State
5,AJ Brown,-1.3688,-1.1069,-2.4757,Ohio
6,AJ Burgin,-0.2039,0.9429,0.739,Idaho State
7,AJ Cajuste,-0.9034,1.752,0.8487,SFA
8,AJ Casey,1.2565,0.2926,1.549,Miami (FL)
9,AJ Clark,0.5521,-3.4809,-2.9288,VMI
10,AJ Clayton,0.3625,5.1671,5.5296,Ohio
11,AJ Dancler,-2.0663,-1.1481,-3.2144,Le Moyne
12,AJ Ferguson,-2.0213,2.0744,0.0531,Southern Ill.
13,AJ George,-1.4586,4.9218,3.4633,Long Beach State
14,AJ Hoggard,1.2986,5.678,6.9766,Michigan State
15,AJ Hoynack,-0.7571,-0.1531,-0.9103,High Point
16,AJ Lopez,-1.7965,1.584,-0.2125,Maine
17,AJ Magbegor,-0.3368,-2.0353,-2.3721,Howard
18,AJ McGinnis,-2.6621,4.6551,1.9929,Lipscomb
19,AJ McKee,-4.5564,4.1932,-0.3632,Queens (NC)
20,AJ Neal,-3.0086,-0.0785,-3.087,Chicago State
21,AJ Redd,-0.4733,-0.3532,-0.8265,Illinois
22,AJ Robinson,-0.3058,-0.2976,-0.6033,Fresno St.
23,AJ Rohosy,0.1472,0.2434,0.3906,Washington State
24,AJ Shaw,-0.4483,0.3666,-0.0817,Presbyterian
25,AJ Smith,-4.0146,2.5173,-1.4972,Southern Ind.
26,AJ Smith,-4.0146,2.5173,-1.4972,The Citadel
27,AJ Staton-McCray,-1.6662,2.7878,1.1216,Samford
28,AJ Storr,-1.3132,5.8394,4.5262,Wisconsin
29,AJ Wills,-4.9565,0.7374,-4.2191,Holy Cross
30,AK Fihla,-0.1735,-0.0682,-0.2417,Temple
31,AK Okereke,-0.414,1.7813,1.3673,Cornell
32,Aa'reyon Munir-Jones,-0.6501,1.612,0.9619,Coppin State
33,Aamer Muhammad,-2.2175,2.4941,0.2766,Troy
34,Aanen Moody,-2.0703,7.0698,4.9995,Montana
35,Aaron Bradshaw,0.029,3.2167,3.2457,Kentucky
36,Aaron Cash,0.8937,3.273,4.1667,UT Arlington
37,Aaron Clark,0.7235,-1.1098,-0.3863,Wake Forest
38,Aaron Clarke,-1.8589,2.9406,1.0817,Stony Brook
39,Aaron Cooley,-2.2603,-1.4057,-3.666,Brown
40,Aaron Davis,-1.0408,-0.1965,-1.2373,Bryant
41,Aaron Deloney,-1.7757,3.5839,1.8082,Vermont
42,Aaron Estrada,0.7312,8.2573,8.9885,Alabama
43,Aaron Franklin,-2.0132,1.5315,-0.4818,Milwaukee
44,Aaron Gray,-0.6685,-1.3688,-2.0373,Indiana State
45,Aaron Harden,-0.4911,-0.8307,-1.3218,A&M-Corpus Christi
46,Aaron Humphrey,-0.2505,-0.0027,-0.2532,Saint Francis
47,Aaron McBride,0.7532,1.1453,1.8985,LMU (CA)
48,Aaron Oh,-0.0824,-0.381,-0.4633,Georgia State
49,Aaron Price,-0.89,-2.6846,-3.5746,Cal Poly
50,Aaron Reddish,-1.9612,-0.2264,-2.1877,UAlbany
51,Aaron Scott,1.7797,2.6745,4.4543,North Texas
52,Abdi Bashir,-4.7797,0.2169,-4.5628,Monmouth
53,Abdou Samb,-3.3236,-3.599,-6.9226,IU Indy
54,Abdou Tsimbila,0.6307,0.8413,1.472,Fordham
55,Abdoul Karim Coulibaly,1.145,1.0792,2.2242,UMass Lowell
56,Abdoulaye Thiam,-3.0801,2.8633,-0.2168,High Point
57,Abdul Momoh,-1.243,0.9514,-0.2916,Central Conn. St.
58,Abdullah Olajuwon,-0.1097,-3.7021,-3.8118,Detroit Mercy
59,Abe Atiyeh,-0.5773,-0.0893,-0.6665,Boston College
60,Abe Johnson,-0.2508,1.9761,1.7254,Army West Point
