,player,DRAPM,ORAPM,Total_RAPM,team
0,A'lahn Sumler,-0.6391,0.4778,-0.1613,Charleston So.
1,AC Bryant,-1.5325,-0.5551,-2.0876,Alabama A&M
2,AD Diedhiou,0.7275,-0.2905,0.437,ULM
3,AJ Allenspach,0.2645,-1.6269,-1.3624,Army West Point
4,AJ Braun,1.3244,1.7119,3.0363,Wright State
5,AJ Brown,-0.3243,-0.2661,-0.5904,Ohio
6,AJ Burgin,1.9453,1.1514,3.0967,Idaho State
7,AJ Cajuste,0.9204,1.9614,2.8819,SFA
8,AJ Casey,2.2749,0.4883,2.7632,Miami (FL)
9,AJ Clark,0.7276,-1.5998,-0.8722,VMI
10,AJ Clayton,1.6827,2.4681,4.1508,Ohio
11,AJ Dancler,0.3923,-0.7788,-0.3866,Le Moyne
12,AJ Ferguson,-0.7778,1.3088,0.531,Southern Ill.
13,AJ George,0.8055,2.7768,3.5823,Long Beach State
14,AJ Hoggard,1.43,3.139,4.569,Michigan State
15,AJ Hoynack,-0.3954,-0.0758,-0.4712,High Point
16,AJ Lopez,0.376,0.9216,1.2976,Maine
17,AJ Magbegor,1.0243,-1.0934,-0.069,Howard
18,AJ McGinnis,0.9501,3.5828,4.5329,Lipscomb
19,AJ McKee,-2.9261,0.6656,-2.2605,Queens (NC)
20,AJ Neal,-1.1521,0.8501,-0.302,Chicago State
21,AJ Redd,-0.0841,-0.1071,-0.1912,Illinois
22,AJ Robinson,-0.1505,-0.2047,-0.3552,Fresno St.
23,AJ Rohosy,0.2663,0.2322,0.4985,Washington State
24,AJ Shaw,-0.1703,0.3821,0.2118,Presbyterian
25,AJ Smith,-0.3211,-1.2071,-1.5283,Southern Ind.
26,AJ Smith,-0.3211,-1.2071,-1.5283,The Citadel
27,AJ Staton-McCray,-0.31,2.0136,1.7036,Samford
28,AJ Storr,1.0666,2.0204,3.087,Wisconsin
29,AJ Wills,-2.5565,0.6081,-1.9485,Holy Cross
30,AK Fihla,-0.1003,-0.047,-0.1473,Temple
31,AK Okereke,1.1233,0.8789,2.0022,Cornell
32,Aa'reyon Munir-Jones,0.6444,-0.6218,0.0227,Coppin State
33,Aamer Muhammad,-0.2722,0.8677,0.5956,Troy
34,Aanen Moody,0.7591,4.5102,5.2693,Montana
35,Aaron Bradshaw,0.141,2.535,2.6761,Kentucky
36,Aaron Cash,2.1031,2.007,4.1101,UT Arlington
37,Aaron Clark,0.6877,-0.3409,0.3468,Wake Forest
38,Aaron Clarke,0.3511,0.7709,1.1221,Stony Brook
39,Aaron Cooley,-0.2159,-0.6661,-0.882,Brown
40,Aaron Davis,0.0279,0.4152,0.443,Bryant
41,Aaron Deloney,1.0682,1.2823,2.3505,Vermont
42,Aaron Estrada,1.5454,5.829,7.3744,Alabama
43,Aaron Franklin,-1.185,0.4852,-0.6999,Milwaukee
44,Aaron Gray,-0.1809,-0.5208,-0.7017,Indiana State
45,Aaron Harden,0.2085,-0.509,-0.3005,A&M-Corpus Christi
46,Aaron Humphrey,0.0387,0.2307,0.2694,Saint Francis
47,Aaron McBride,1.0075,0.1184,1.1259,LMU (CA)
48,Aaron Oh,0.1964,-0.2347,-0.0383,Georgia State
49,Aaron Price,0.9888,-1.1614,-0.1726,Cal Poly
50,Aaron Reddish,-0.2227,-0.0528,-0.2755,UAlbany
51,Aaron Scott,2.055,0.3622,2.4172,North Texas
52,Abdi Bashir,-1.8093,-0.1572,-1.9665,Monmouth
53,Abdou Samb,-1.4596,-3.1943,-4.6538,IU Indy
54,Abdou Tsimbila,1.225,0.05,1.275,Fordham
55,Abdoul Karim Coulibaly,1.3574,0.0627,1.4201,UMass Lowell
56,Abdoulaye Thiam,-0.3113,2.2386,1.9273,High Point
57,Abdul Momoh,0.7675,0.7107,1.4782,Central Conn. St.
58,Abdullah Olajuwon,0.5717,-1.9005,-1.3288,Detroit Mercy
59,Abe Atiyeh,-0.395,-0.0127,-0.4077,Boston College
60,Abe Johnson,0.9736,0.76,1.7336,Army West Point
61,Abou Ousmane,2.8876,-0.1343,2.7532,Xavier
62,Aboubacar Traore,1.0652,0.5676,1.6328,Long Beach State
63,Abramo Canka,-0.6131,-1.5752,-2.1884,Wake Forest
64,Ace Baldwin,-0.0224,2.4078,2.3854,Penn State
65,Ace Talbert,-0.6128,-1.1073,-1.7201,Saint Francis
66,Ace Valentine,1.4706,0.8848,2.3554,UMBC
67,Achile Spadone,-0.003,1.6869,1.6839,Davidson
68,Achor Achor,3.7018,3.3356,7.0374,Samford
69,Adam Benhayoune,-0.4046,-0.0376,-0.4422,LSU
70,Adam Cisse,1.1988,0.645,1.8438,Maine
71,Adam Clark,1.3906,-0.4597,0.9309,Merrimack
72,Adam Comer,-0.3625,-0.3678,-0.7303,Col. of Charleston
73,Adam Hamilton,-0.1533,1.6012,1.4479,Lamar University
74,Adam Hess,-1.3835,-0.1193,-1.5027,NJIT
75,Adam Hinton,0.4099,0.4652,0.8751,Cornell
76,Adam Larson,-1.0858,-1.6035,-2.6893,Southeast Mo. St.
77,Adam Miller,-0.4171,0.008,-0.4091,Arizona State
78,Adam Moussa,-0.111,1.0763,0.9653,Tarleton State
79,Adam Shoff,-0.0689,-0.0235,-0.0924,Montana
80,Adama Bal,1.6185,3.0938,4.7123,Santa Clara
81,Adante' Holiman,-0.3387,-1.8358,-2.1744,UTSA
82,Aday Mara,-0.4373,0.6634,0.226,UCLA
83,Addarin Scott,0.3894,-0.2837,0.1057,Auburn
84,Ade Adebayo,1.9171,0.6418,2.5589,UC Davis
85,Adefemi Akinwole,0.1088,0.1036,0.2124,Florida A&M
86,Adem Bona,2.967,0.6575,3.6244,UCLA
87,Ademide Badmus,0.4886,-0.9084,-0.4198,Gardner-Webb
88,Aden Haas,-0.2961,-0.1612,-0.4573,Charleston So.
89,Aden Holloway,2.0131,2.219,4.2322,Auburn
90,Aden Tagaloa-Nelson,-0.1601,-0.0669,-0.227,West Virginia
91,Adeola Seun,5.0944,-1.0183,4.076,SIUE
92,Adou Thiero,-0.9365,2.0178,1.0813,Kentucky
93,Adrame Diongue,1.1533,0.2023,1.3555,San Jose State
94,Adrian Myers,-0.8685,-1.0869,-1.9554,Mississippi State
95,Adrian Samuels,1.8104,-0.1054,1.705,American
96,Adrian Uchidiuno,0.4909,0.13,0.6209,Brown
97,Ahjany Lee,-0.078,0.6601,0.5822,St. Thomas (MN)
98,Ahmad Hamilton,-0.1032,-0.9056,-1.0089,N.C. A&T
99,Ahmad Henderson,-1.3065,-0.7143,-2.0208,Niagara
100,Ahmad Robinson,0.402,0.5075,0.9095,New Hampshire
101,Ahmard Harvey,0.8526,0.547,1.3996,UNCW
102,Ahmed Essahaty,-1.8548,0.0248,-1.83,LIU
103,Ahmet Jonovic,-0.2054,-1.0456,-1.2509,Bradley
104,Ahmir Langlais,0.5334,-1.6997,-1.1663,USC Upstate
105,Ahren Freeman,0.5787,0.3042,0.8829,UTRGV
106,Aidan Burke,0.9759,-0.4477,0.5282,UC San Diego
107,Aidan Carpenter,-0.2307,2.2415,2.0108,Sacred Heart
108,Aidan Hadaway,2.9529,2.3698,5.3227,Ohio
109,Aidan Harris,-0.1174,0.0702,-0.0472,Saint Francis
110,Aidan Igiehon,-0.496,-1.5967,-2.0928,Abilene Christian
111,Aidan Kehoe,0.6244,-0.7541,-0.1296,Navy
112,Aidan Mahaney,1.8873,2.6506,4.5379,Saint Mary's (CA)
113,Aidan McCool,0.0547,-0.6,-0.5453,Louisville
114,Aidan Mckeon,0.175,-0.3168,-0.1418,James Madison
115,Aidan Noyes,1.4653,1.0529,2.5182,Richmond
116,Aidan Prukop,0.0111,0.004,0.015,Cal Poly
117,Aidan Rubio,0.4637,-1.1681,-0.7044,Central Mich.
118,Aidan Shaw,-0.8641,0.3833,-0.4809,Missouri
119,Aiden Terry,0.275,0.0975,0.3725,Rutgers
120,Aime Rutayisire,-0.5607,0.5198,-0.0409,Niagara
121,Airion Simmons,3.3583,-0.7732,2.5851,Abilene Christian
122,Ajay Mitchell,1.4548,2.2101,3.6648,UC Santa Barbara
123,Ajay Sheldon,0.0031,-0.1897,-0.1866,Ohio
124,Ajay Tew,0.3668,0.2675,0.6344,ULM
125,Akil Watson,-0.1957,-1.4068,-1.6025,Arizona State
126,Akili Vining,-0.1389,1.0338,0.895,UT Arlington
127,Akira Jacobs,-0.3474,-0.0903,-0.4377,Hawaii
128,Akiva McBirney-Griffin,0.1939,-0.2792,-0.0852,UC Irvine
129,Akok Akok,0.2692,-1.2723,-1.0031,West Virginia
130,Akol Mawein,0.0592,-0.6817,-0.6225,Sacramento St.
131,Akrum Ahemed,1.2246,-0.3358,0.8888,UNC Greensboro
132,Akuel Kot,1.0858,0.8717,1.9575,Wyoming
133,Al Amadou,-0.0538,-0.9822,-1.036,Marquette
134,Al-Amir Dawes,0.0842,2.5959,2.6802,Seton Hall
135,Albe Evans,0.4422,-0.501,-0.0588,Fordham
136,Alden Applewhite,-0.1502,1.3009,1.1508,Murray State
137,Alec Oglesby,-1.2865,0.5693,-0.7172,Stetson
138,Alec Pfriem,0.5931,-0.3071,0.286,Bellarmine
139,Alec Woodard,-0.3245,-0.8699,-1.1944,Southeastern La.
140,Alejandro Ralat,-0.106,0.2134,0.1073,Fla. Atlantic
141,Alejandro Vasquez,-0.1085,1.9758,1.8673,UAB
142,Alek Delev,0.15,-0.1088,0.0412,Bucknell
143,Aleksa Lekic,0.1327,-0.1324,0.0003,Lamar University
144,Alem Huseinovic,-0.4699,2.4341,1.9642,Rice
145,Alex Anamekwe,-0.3566,-0.4816,-0.8381,Texas
146,Alex Anderson,-1.4613,0.324,-1.1373,UIW
147,Alex Bates,0.9319,-0.7273,0.2046,Iona
148,Alex Capitano,0.062,-0.1644,-0.1024,Colgate
149,Alex Condon,3.4443,1.9846,5.4289,Florida
150,Alex Cotton,0.2625,-0.1388,0.1237,North Texas
151,Alex Daniels,0.0452,-0.001,0.0442,American
152,Alex Doyle,-0.1396,0.0654,-0.0742,Stetson
153,Alex Ducas,3.2822,1.6424,4.9245,Saint Mary's (CA)
154,Alex Hemenway,0.5193,0.2365,0.7559,Clemson
155,Alex Holt,0.6821,1.0236,1.7057,Mercer
156,Alex Horiuk,-0.9856,-0.5351,-1.5207,UTRGV
157,Alex Huibregtse,-0.9071,4.3031,3.396,Wright State
158,Alex Karaban,2.7219,5.2218,7.9437,UConn
159,Alex Klatsky,-0.3172,-0.2666,-0.5838,Florida
160,Alex Kotov,0.5112,-2.4565,-1.9454,Campbell
161,Alex Kovatchev,0.2035,-1.0432,-0.8398,Sacramento St.
162,Alex Merkviladze,-0.5578,1.6908,1.133,LMU (CA)
163,Alex Nunnally,-0.0683,-0.3917,-0.46,NC State
164,Alex Odam,1.3465,-0.1822,1.1643,Jacksonville State
165,Alex Raiford,0.8409,1.4315,2.2724,Chicago State
166,Alex Schumacher,1.4314,0.0072,1.4386,Seattle U
167,Alex Sobel,0.9093,0.6952,1.6045,Sacred Heart
168,Alex Tavares,0.3865,-0.0758,0.3107,New Hampshire
169,Alex Tew,0.8649,0.7152,1.5801,Weber State
170,Alex Timmerman,1.5035,1.0712,2.5747,Winthrop
171,Alex Tsynkevich,-1.1947,-2.0616,-3.2562,Alcorn
172,Alex Vertus,0.3118,0.3004,0.6122,Louisiana Tech
173,Alex Wade,0.385,-0.8555,-0.4705,Notre Dame
174,Alex Williams,-0.1556,0.9853,0.8296,Furman
175,Alexander Lesburt,1.6342,1.8566,3.4908,Brown
176,Alexander Nwagha,-0.0709,-2.3624,-2.4332,Northeastern
177,Alexander Payne,1.142,0.369,1.511,Louisville
178,Alexis Reyes,0.9334,0.9367,1.8701,Quinnipiac
179,Alexis Yetna,-0.0336,0.1799,0.1463,Fairfield
180,Alfredo Boglio,2.188,-1.4198,0.7682,Robert Morris
181,Ali Ali,0.974,1.4257,2.3997,Akron
182,Ali Dibba,-0.2929,1.4444,1.1515,Abilene Christian
183,Alijah Martin,0.6608,2.257,2.9178,Fla. Atlantic
184,Alimamy Koroma,0.4424,-0.8615,-0.4191,Portland
185,Allan Jeanne-Rose,1.0299,0.5226,1.5525,Central Conn. St.
186,Allen Betrand,-0.7741,2.0587,1.2846,Norfolk State
187,Allen David Mukeba,-0.4112,0.3661,-0.045,Kansas City
188,Allen Flanigan,2.5805,1.7796,4.3601,Ole Miss
189,Allen Powell,0.482,0.3934,0.8754,Rider
190,Allen Strothers,0.2701,-0.6059,-0.3358,ETSU
191,Allen Udemadu,-0.4894,-0.7917,-1.2811,Morgan State
192,Almar Atlason,2.5886,0.0779,2.6665,Bradley
193,Alonso Faure,0.557,-1.6991,-1.1421,Loyola Maryland
194,Alonzo Dodd,-1.1016,1.044,-0.0576,East Texas A&M
195,Alonzo Gaffney,1.1879,0.6609,1.8488,Arizona State
196,Alpha Chibambe,-0.5899,1.4874,0.8976,UMBC
197,Alphonzo Billups,-0.5941,0.7646,0.1706,VCU
198,Alston Andrews,1.095,-1.0269,0.068,Delaware State
199,Alston Mason,0.1417,-0.0125,0.1292,Missouri State
200,Alvaro Cardenas,-1.923,1.0099,-0.9131,San Jose State
201,Alvaro Folgueiras,1.0545,0.5198,1.5743,Robert Morris
202,Alvin Tumblin,0.13,0.0472,0.1772,Florida A&M
203,Always Wright,0.2779,0.149,0.427,Rhode Island
204,Aly Khalifa,0.7169,2.3505,3.0674,BYU
205,Amaan Sandhu,-0.0973,0.1724,0.075,Monmouth
206,Amahrie Simpkins,-0.0844,-0.9265,-1.0109,Morgan State
207,Amani Drummond,-0.0291,-0.3243,-0.3534,UIW
208,Amani Hansberry,0.4801,1.0057,1.4858,Illinois
209,Amani Lyles,1.6236,0.5928,2.2164,Akron
210,Amanze Ngumezi,1.0936,-2.4041,-1.3105,Mercer
211,Amar Kuljuhovic,1.5511,0.9418,2.4929,North Dakota
212,Amar'e Marshall,-0.2368,2.5801,2.3433,UAlbany
213,Amaree Abram,-1.1447,-0.4156,-1.5603,Georgia Tech
214,Amari Jedkins,1.1032,-0.6927,0.4105,Green Bay
215,Amari Kelly,1.2074,1.7898,2.9973,George Mason
