,player,DRAPM,ORAPM,Total_RAPM,team
408,Angel Scott,0.2774,-0.1712,0.1062,Missouri State
409,Angela Dugalic,1.0056,2.8381,3.8437,UCLA
410,Angela Samuel,1.9525,-0.0885,1.8641,Southern Ill.
411,Angelica Velez,0.322,-0.0074,0.3146,LSU
412,Angelie Ricard,-1.1099,-3.3383,-4.4482,Wagner
413,Angelina Banas,0.1632,-0.3894,-0.2263,NJIT
414,Angelina Hammond,0.4291,-3.2636,-2.8345,St. Thomas (MN)
415,Angelina Robles,1.2352,1.7197,2.9549,Denver
416,Angelique Ngalakulondi,0.8146,0.4684,1.283,Missouri
417,Angena Belloso,0.3469,-0.8689,-0.522,FIU
418,Angie Cera,-0.4482,2.3871,1.9389,Milwaukee
419,Ania McNicholas,0.4288,-0.5503,-0.1215,Cal Poly
420,Aniah Hall,-0.6331,0.7452,0.1121,Northern Colo.
421,Anica Skrivan,-0.3722,0.4863,0.1141,Evansville
422,Anijah Grant,0.855,-1.0523,-0.1973,Grambling
423,Anika McGarity,1.3369,1.4774,2.8143,Col. of Charleston
424,Anisa Clark,-0.1429,-0.2226,-0.3655,Georgia Tech
425,Aniya Bell,-0.1932,0.1182,-0.075,Wichita State
426,Aniya Finger,1.4166,-1.1394,0.2772,N.C. Central
427,Aniya Gourdine,1.2534,0.0036,1.257,Southern U.
428,Aniya Hubbard,0.6278,2.9057,3.5335,Fla. Atlantic
429,Aniya Matthews,-0.7368,-1.1912,-1.928,Lafayette
430,Aniya Palmer,0.8377,-0.0619,0.7758,Georgia State
431,Aniya Walker,0.2026,-0.2588,-0.0562,Mount St. Mary's
432,Aniyah Augmon,0.4719,0.7215,1.1935,New Mexico
433,Aniyah Johnson,0.9093,-0.3584,0.5509,North Texas
434,Aniyah Quow,0.3739,0.0976,0.4715,San Jose State
435,Anja Bukvic,0.1136,1.5822,1.6958,Louisiana Tech
436,Anjanae Mueck,-0.23,-0.6419,-0.8719,Morgan State
437,Anjanae Richardson,-0.5631,3.2528,2.6897,Norfolk State
438,Anna Blount,0.927,-0.3189,0.6081,UMBC
439,Anna Boruta,-1.6833,-3.5886,-5.2719,Stonehill
440,Anna Brown,-0.1817,0.495,0.3133,Drake
441,Anna DeWolfe,2.6232,2.8221,5.4452,Notre Dame
442,Anna Deets,0.2678,0.2222,0.49,Western Ill.
443,Anna Eddy,-0.1845,-0.0449,-0.2294,Portland
444,Anna Ekerstedt,0.3282,-0.5148,-0.1866,Charlotte
445,Anna Eng,0.0332,-0.4566,-0.4234,Army West Point
446,Anna Foley,-1.7765,-1.3681,-3.1446,Quinnipiac
447,Anna Gret Asi,0.1671,2.3356,2.5027,Oklahoma State
448,Anna Hager,-2.1566,-1.1178,-3.2744,High Point
449,Anna Kahelin,-0.0014,-0.1712,-0.1726,Maine
450,Anna Kunzwiler,2.5235,-0.9742,1.5492,Stetson
451,Anna Larr Roberson,0.37,0.4948,0.8648,Louisiana Tech
452,Anna LeMaster,-1.301,0.0864,-1.2146,American
453,Anna Long,-0.5333,-0.4306,-0.9639,Binghamton
454,Anna Lutz,1.0862,0.997,2.0832,Milwaukee
455,Anna Miller,4.3415,3.9667,8.3082,Drake
456,Anna Olson,0.442,2.3771,2.8191,Vermont
457,Anna Ostlie,1.9492,1.1324,3.0816,Grand Canyon
458,Anna Rescifina,-0.17,1.0271,0.8571,American
459,Anna Soler,-0.0826,-0.2672,-0.3499,Maine
460,Anna Walker,-0.8541,1.1312,0.2772,Tennessee Tech
461,Annabelle Schultz,0.2007,1.7203,1.921,Wofford
462,Annalicia Goodman,0.4834,0.5303,1.0137,James Madison
