,player,DRAPM,ORAPM,Total_RAPM,team
95,Adria Lincoln,-0.9595,-0.1573,-1.1168,Montana
96,Adriana Shipp-Davis,-2.2939,0.5883,-1.7057,Longwood
97,Adrianna Katcher,0.8979,-0.1579,0.74,Southern Ill.
98,Adrianna Smith,2.0507,6.9813,9.0319,Maine
99,Adrien LaMora,-0.7878,0.2434,-0.5445,Canisius
100,Adryana Quezada,-1.1511,6.2059,5.0548,San Diego State
101,Adyson James,0.3639,-0.9092,-0.5454,Nicholls
102,Aerial Wilson,-0.142,1.2638,1.1218,South Fla.
103,Afia Owusu-Mensah,-1.4266,-0.8336,-2.2602,Sacred Heart
104,Aga Makurat,-2.3859,2.5631,0.1772,Vanderbilt
105,Agnes Emma-Nnopu,2.6101,7.8147,10.4247,TCU
106,Agnes Svansdottir,-1.7955,-0.888,-2.6835,North Florida
107,Ahmya Boyce,-4.2095,-1.3331,-5.5426,East Texas A&M
108,Ahniysha Jackson,-2.7442,0.7223,-2.0219,Siena
109,Ahriahna Grizzle,-2.086,4.541,2.455,Florida A&M
110,Ahrray Young,0.8928,1.8007,2.6936,Tulsa
111,Aicha Coulibaly,4.7239,8.509,13.2329,Texas A&M
112,Aicha Dia,-0.1758,-1.9254,-2.1012,Cincinnati
113,Aicha Ndour,-0.4216,0.5727,0.1511,Illinois
114,Aijha Blackwell,1.5,4.7812,6.2812,Baylor
115,Aileen Marquez,0.9338,0.3542,1.288,FIU
116,Aina Grane Torres,-1.1233,-1.3288,-2.4521,Boston U.
117,Aina Roque,0.0632,-0.4744,-0.4111,New Hampshire
118,Aina Subirats,0.4192,-1.7031,-1.2839,Florida A&M
119,Ainhoa Cea,-1.7826,-1.5879,-3.3706,Lipscomb
120,Ainsley Holthaus,0.7416,0.9754,1.7169,Western Ill.
121,Aisha Dabo,-2.0822,-2.0091,-4.0913,Hampton
122,Aislin Malcolm,-1.2396,0.4067,-0.8328,Pittsburgh
123,Aislinn Gibson,0.0987,-0.1661,-0.0675,Maine
124,Aislynn Hayes,-3.4586,4.9081,1.4495,Marshall
125,Aixa Wone Aranaz,1.3702,-0.5314,0.8388,Georgia Tech
126,Aixchel Hernandez,-0.6623,0.775,0.1127,Cal St. Fullerton
127,Aiyana Mitchell,-0.3594,-0.5531,-0.9125,Vanderbilt
128,Aizhanique Mayo,-4.5182,2.9612,-1.5571,Xavier
129,Ajae Petty,0.7634,4.831,5.5944,Kentucky
130,Ajae Yoakum,-0.8025,1.0514,0.2489,FIU
131,Ajia James,-1.1882,0.2142,-0.974,Elon
132,Ajok Madol,-0.2776,-0.5001,-0.7778,Minnesota
133,Ajulu Thatha,2.5497,5.9467,8.4964,FGCU
134,Akasha Davis,0.2036,9.6007,9.8043,Lamar University
135,Akyriale Ford,-0.9699,-4.5559,-5.5258,Alcorn
136,Alaina Harper,-0.3799,-0.513,-0.8929,Purdue
137,Alaina Nettles,-3.8653,-1.5922,-5.4576,Charleston So.
138,Alaina Rice,-0.2121,2.5322,2.3201,Syracuse
139,Alaina Williams,-0.4824,-0.2197,-0.702,Idaho State
140,Alaisha Brown,-0.4979,-3.3117,-3.8097,Denver
141,Alana Goodchild,-3.5937,-0.1575,-3.7513,Northwestern
142,Alana Striverson,-5.332,-0.5046,-5.8366,Evansville
143,Alancia Ramsey,-2.8185,2.1827,-0.6358,Coastal Carolina
144,Alani Encinas,-0.2105,-0.5046,-0.7151,Portland State
145,Alani Fluker,-3.5794,-1.1888,-4.7683,San Jose State
146,Alannah Chatfield,0.3207,-0.5052,-0.1845,Fresno St.
147,Alarice Gooden,-0.6625,0.1676,-0.495,Hofstra
148,Alasia Hayes,-0.2662,0.9957,0.7295,Marshall
149,Alasia Smith,3.2283,3.4063,6.6347,Memphis
150,Alaya Fitzgerald,-3.7492,-0.6645,-4.4137,Portland State
151,Alayna Contreras,-3.3522,1.6826,-1.6696,Kansas City
152,Alba Garcia,-0.4001,0.0778,-0.3224,Charleston So.
153,Alberte Rimdal,-0.8308,2.5568,1.726,Florida
154,Alden Yergey,-3.1944,0.0992,-3.0952,Siena
155,Ale Civera,-2.9048,-1.9821,-4.8868,Iona
156,Ale'Jah Douglas,-0.8022,-0.2984,-1.1006,Oklahoma State
157,Aleah Nelson,-0.0594,5.2919,5.2325,Temple
158,Aleah Snead,-2.1154,0.0517,-2.0637,Saint Joseph's
159,Aleah Sorrentino,-0.735,0.4919,-0.2431,Lipscomb
160,Alecia Doyle,-3.005,2.1473,-0.8577,Southeast Mo. St.
161,Alecia Westbrook,2.8636,4.7437,7.6073,A&M-Corpus Christi
162,Aleighyah Fontenot,-0.8656,1.4673,0.6016,Southern U.
163,Alejandra Ferreiros,-0.8649,-0.924,-1.7889,Bryant
164,Alejandra Mastral,-0.4806,-2.06,-2.5406,Robert Morris
165,Alejandra Zuniga,-4.3119,1.9556,-2.3563,NJIT
166,Alex Covill,2.9469,-0.7366,2.2103,Washington State
167,Alex Cowan,0.436,0.0554,0.4913,Georgetown
168,Alex Giannaros,-4.3174,3.622,-0.6954,Boston U.
169,Alex Gitchenko,-2.289,-4.2836,-6.5726,UMass Lowell
170,Alex Pirog,-1.9736,-2.7199,-4.6935,Montana
171,Alex Richard,-1.6341,2.9681,1.334,Ball State
172,Alex Rouse,-4.0157,-2.9179,-6.9336,Bradley
173,Alexa Brodie,-2.0105,0.2299,-1.7806,Colgate
174,Alexa Hocevar,-2.4095,-3.1736,-5.5831,IU Indy
175,Alexa Lord,-5.6075,-1.9877,-7.5952,Southern Utah
176,Alexa Mikeska,1.4378,-1.3334,0.1044,William & Mary
177,Alexa Washington,-1.7107,1.3247,-0.386,South Fla.
178,Alexa Washington,-1.7107,1.3247,-0.386,North Florida
179,Alexa Zaph,-1.9356,1.1673,-0.7683,Fla. Atlantic
180,Alexandra Eldredge,-2.3891,0.7029,-1.6862,Southern Utah
181,Alexandria Johnson,-3.975,-0.7519,-4.727,Queens (NC)
182,Alexandria Scruggs,-0.5226,2.0858,1.5632,Wake Forest
183,Alexi Hempe,-2.8191,1.9432,-0.8758,South Dakota
184,Alexia Dizeko,0.5299,0.5647,1.0945,Florida
185,Alexia Nelson,-1.865,2.3379,0.4729,Towson
186,Alexia Smith,0.2864,0.4121,0.6985,Virginia
187,Alexis Andrews,-2.4046,3.3182,0.9136,Col. of Charleston
188,Alexis Black,-3.3907,3.7629,0.3722,App State
189,Alexis Calderon,-0.8944,-3.3644,-4.2587,New Orleans
190,Alexis Callins,-2.7798,3.1668,0.387,North Ala.
191,Alexis Cortez,-2.0339,-0.1424,-2.1763,Air Force
192,Alexis Davis,-1.0887,1.9923,0.9036,Buffalo
193,Alexis Hutchison,-2.8154,5.475,2.6596,Wright State
194,Alexis Johnson,-1.7954,0.9971,-0.7984,Oakland
195,Alexis Markowski,2.3675,8.0592,10.4266,Nebraska
196,Alexis Mead,-2.4072,5.3962,2.9891,Western Ky.
197,Alexis Parker,-0.9652,-0.4164,-1.3816,UTSA
198,Alexis Pettis,3.1248,2.5488,5.6737,Eastern Wash.
199,Alexis Roberts,-0.6104,0.0335,-0.5768,Jackson State
200,Alexis Stewart,-1.5294,0.2758,-1.2536,Akron
201,Alexis Tucker,-1.3549,0.9413,-0.4136,Florida State
202,Alexis Whitfield,-0.3761,2.8495,2.4735,UC Santa Barbara
203,Alexis Woods,0.0894,0.0308,0.1202,Samford
204,Alexsia Rose,-3.3642,1.3865,-1.9778,Massachusetts
205,Alexsyah Goudeau,-1.6257,-0.6451,-2.2708,UT Arlington
206,Alexus Mobley,-1.2293,-2.5475,-3.7768,Akron
207,Alexus Seaton,-0.8505,-1.9406,-2.7911,Sam Houston
208,Alexzeya Brooks,-3.8074,-1.9146,-5.722,LIU
209,Ali Bamberger,-3.2314,4.3328,1.1014,Saint Mary's (CA)
210,Ali Berg,-1.7673,0.545,-1.2224,Loyola Chicago
211,Ali Brigham,0.228,4.8342,5.0622,Penn State
212,Ali Saunders,-1.983,3.3829,1.3999,Southern Ind.
213,Ali Stephens,0.5918,0.6133,1.205,Omaha
214,Ali Wetta,-1.5024,0.0166,-1.4858,Utah State
215,Ali Zelaya,-0.7387,0.5502,-0.1885,North Carolina
216,Ali'a Matavao,-0.5777,-2.0311,-2.6088,BYU
217,Aliah McWhorter,-0.3697,0.6779,0.3082,Wake Forest
218,Alice Recanati,-1.8313,1.2247,-0.6066,Eastern Ky.
219,Alicia Blanton,0.3045,0.0182,0.3226,Louisiana
220,Alina Anderson,-1.4086,-1.0644,-2.473,Central Mich.
221,Alina Sendar,-2.1148,-2.8442,-4.959,Towson
222,Alisa Knight,-1.7519,-1.7571,-3.509,Texas Southern
223,Alisha Wilson,1.2257,2.1165,3.3422,Alabama A&M
224,Alissa Dins,1.7718,-0.2518,1.52,Western Ill.
225,Alissa Pili,2.1367,13.9466,16.0833,Utah
226,Alivia Stephens-Kirkman,-0.5144,-0.6175,-1.1319,Army West Point
227,Aliya McIver,-0.4857,-1.3377,-1.8234,Rider
228,Aliyah Collins,-2.1483,3.6303,1.4819,UIW
229,Aliyah Green,1.4793,-0.5807,0.8986,Memphis
230,Aliyah Matharu,2.0825,7.9858,10.0683,Florida
231,Allasia Washington,-0.7894,3.964,3.1746,Southeastern La.
232,Alli Campbell,1.2206,4.2795,5.5001,Penn State
233,Alli Carlson,-2.6922,-1.6421,-4.3343,Western Mich.
234,Allie Craig Cruce,-2.6265,1.0723,-1.5541,North Ala.
235,Allie Cummins,-2.8557,0.4195,-2.4362,Northern Ariz.
236,Allie Hueckman,-0.4928,-1.3818,-1.8746,Boise State
237,Allie Kubek,-1.0937,3.9681,2.8744,Maryland
238,Allie McGinn,-1.2109,-0.7391,-1.95,FDU
239,Allie Meadows,-1.4952,1.6945,0.1994,Western Ill.
240,Allie Tylka,-3.9382,-1.5443,-5.4825,Fla. Atlantic
241,Allison Basye,-1.6121,0.7295,-0.8826,Northern Ky.
242,Allison LaPoint,-0.3189,0.3252,0.0063,Central Mich.
243,Ally Becki,2.2,5.1262,7.3262,Ball State
244,Ally Carman,-0.1685,-2.3208,-2.4893,Iona
245,Ally Criddle,-1.3178,-1.5641,-2.8819,Utah Valley
246,Ally Fitzgerald,-0.8401,-1.602,-2.4421,UC Davis
247,Ally Hollifield,-0.409,-0.6817,-1.0906,Memphis
248,Ally Knights,1.2116,-1.8667,-0.655,Hofstra
249,Ally Lovisolo,-0.1817,-2.5674,-2.7491,Loyola Maryland
250,Ally Sentance,-0.9507,-2.3431,-3.2939,Central Conn. St.
251,Ally Stedman,0.2044,1.2897,1.4941,Miami (FL)
252,Ally Sweeney,-1.094,0.5558,-0.5382,Richmond
253,Allysan Tse,-0.6564,-1.2958,-1.9521,Cal St. Fullerton
254,Allyson Fertig,0.5775,8.2217,8.7993,Wyoming
255,Allyzee Verdan,-3.3315,-1.8362,-5.1677,Utah State
256,Alma Elsnitz,0.1853,-0.9194,-0.734,California
257,Alma Rashelbach,-0.9635,-1.4072,-2.3707,Portland State
258,Alondra Lizama,-1.8137,-1.2989,-3.1126,CSUN
259,Alonna Sellers,-1.4098,-3.307,-4.7168,Central Conn. St.
260,Alonya Waldon,-0.6392,-0.2892,-0.9285,Samford
261,Althea Kara Angeles,-0.1309,1.7174,1.5865,Eastern Ky.
262,Alva Mofalk,-2.7468,-1.9033,-4.6501,McNeese
263,Aly Avrach,-0.3398,0.3701,0.0303,Bellarmine
264,Aly Wadkovsky,-1.1108,-2.1242,-3.235,Elon
265,Alyse Aby,-0.8108,-3.6898,-4.5005,Idaho State
266,Alyson Deaver,-1.8966,-0.6899,-2.5865,Utah Tech
267,Alyssa Andrews,0.383,2.9398,3.3228,Wake Forest
268,Alyssa Blanck,-0.4204,-0.6937,-1.1141,Utah
269,Alyssa Brown,1.8575,2.0378,3.8953,UNLV
270,Alyssa Chapman,-0.768,-0.9838,-1.7518,Longwood
271,Alyssa Christensen,-0.1594,0.9068,0.7474,Boise State
272,Alyssa Clutter,-1.8896,1.1124,-0.7772,North Ala.
273,Alyssa Costigan,-0.1896,-0.1131,-0.3027,Manhattan
274,Alyssa Crockett,0.7295,2.015,2.7445,Michigan
275,Alyssa Durazo-Frescas,-0.39,6.8302,6.4402,UNLV
276,Alyssa Fisher,-1.8907,4.3127,2.422,Loyola Chicago
277,Alyssa Green-White,-1.8884,-2.3415,-4.2299,Alabama State
278,Alyssa Hargrove,0.7156,-2.13,-1.4143,Austin Peay
279,Alyssa Jackson,-2.1363,-1.4147,-3.551,San Diego State
280,Alyssa Jimenez,-0.373,0.7993,0.4263,FGCU
281,Alyssa Latham,2.0373,3.5501,5.5874,Syracuse
282,Alyssa Marin,-2.5311,5.0739,2.5428,UC Santa Barbara
283,Alyssa Moreland,2.2681,-0.9412,1.3268,Brown
284,Alyssa Nielsen,-5.1532,0.7863,-4.3669,Lindenwood
285,Alyssa Parmer,-0.0965,-0.3086,-0.405,Tulsa
286,Alyssa Phillip,-0.2557,1.0639,0.8083,Georgia State
287,Alyssa Rossignol,-1.1751,-3.2233,-4.3984,Niagara
288,Alyssa Tarpley,0.5763,-2.0415,-1.4652,Samford
289,Alyssa Ustby,3.802,6.7079,10.5099,North Carolina
290,Amalie Langer,-0.2203,-0.4398,-0.6601,Idaho
291,Amanda Barcello,-0.4138,0.1656,-0.2482,Utah Valley
292,Amanda Blake,-0.989,1.0694,0.0804,Grambling
293,Amanda Muse,-0.1087,0.303,0.1943,UCLA
294,Amanda Olinger,-0.9815,-1.9303,-2.9118,Cal Poly
295,Amanda Zeno,-0.1202,0.2214,0.1013,Marist
296,Amandine Amorich,-0.6158,-2.6033,-3.2191,Loyola Maryland
297,Amani Bartlett,0.7459,0.6254,1.3714,LSU
298,Amani Freeman,-2.5841,1.5836,-1.0004,Clemson
299,Amarachi Kimpson,0.6177,4.6331,5.2507,UNLV
300,Amarah Streiff,-2.0354,1.4579,-0.5775,Colgate
301,Amari Bonds,-1.4214,0.2267,-1.1947,UT Martin
302,Amari Conn,-0.2469,-0.422,-0.6689,Houston
303,Amari Davis,-1.1627,0.7727,-0.39,Queens (NC)
304,Amari DeBerry,1.3372,-2.5658,-1.2286,UConn
305,Amari Robinson,-0.7234,8.9632,8.2397,Clemson
306,Amari Smith,-2.7068,-1.0723,-3.7792,Morgan State
307,Amari Whiting,-0.1219,1.3191,1.1972,BYU
308,Amari Wright,4.7841,3.3561,8.1402,Seton Hall
309,Amaria McNear,-0.4743,-1.7873,-2.2617,High Point
310,Amaris Baker,-2.6749,2.7488,0.0739,Drexel
311,Amauri Williams,-3.7025,0.5229,-3.1796,Prairie View
312,Amaya Battle,0.288,2.5842,2.8722,Minnesota
313,Amaya Bonner,-0.8137,2.1,1.2863,Florida State
314,Amaya Brannon,-0.4925,-2.0845,-2.5769,Louisiana Tech
315,Amaya Burch,-0.1182,0.1755,0.0573,Detroit Mercy
316,Amaya Dowdy,-2.6776,-3.3987,-6.0763,LIU
317,Amaya Evans,-2.6047,-2.6668,-5.2716,Iona
318,Amaya Ford,-0.1941,-0.3167,-0.5108,ULM
319,Amaya Hamilton,-0.192,4.4406,4.2486,Duquesne
320,Amaya Staton,-1.9829,-0.1119,-2.0948,Merrimack
321,Amaya Williams,-5.1623,-0.8818,-6.0442,Central Conn. St.
322,Ambah Kowcun,-0.2027,1.5282,1.3254,Wichita State
323,Amber Brown,0.4624,-0.1619,0.3005,St. John's (NY)
324,Amber Bullard,-2.5248,-2.1767,-4.7015,La Salle
325,Amber Kartchner,-0.7993,-0.7795,-1.5788,Utah Tech
326,Amber Scalia,-3.0689,4.4739,1.405,St. Thomas (MN)
