,player,DRAPM,ORAPM,Total_RAPM,team
98,Ahmed Barba-Bey,-0.907,0.0688,-0.8383,FDU
99,Ahmed Essahaty,0.4736,-0.168,0.3056,Southeastern La.
100,Ahmet Jonovic,2.0311,1.8276,3.8586,Bradley
101,Ahmir Langlais,0.2699,-0.6358,-0.3659,Tennessee State
102,Ahron Ulis,-0.0766,-1.4112,-1.4878,Nebraska
103,Aidan Braccia,0.1762,-0.0938,0.0824,Belmont
104,Aidan Burke,0.8602,2.0011,2.8613,UC San Diego
105,Aidan Cammann,2.7461,0.9098,3.6559,Stanford
106,Aidan Carpenter,1.5343,-0.434,1.1003,Sacred Heart
107,Aidan Driggers,0.3539,-0.0415,0.3124,Jacksonville State
108,Aidan Hadaway,0.1932,0.8036,0.9968,Ohio
109,Aidan Harris,0.6342,0.0448,0.679,Saint Francis
110,Aidan Kehoe,-0.193,-0.7767,-0.9697,Navy
111,Aidan Konop,-0.2361,0.0003,-0.2357,Wisconsin
112,Aidan Mahaney,1.0217,0.3957,1.4174,UConn
113,Aidan McCool,-0.1449,-0.3981,-0.543,Louisville
114,Aidan Mckeon,0.0191,-0.2765,-0.2573,James Madison
115,Aidan Noyes,-0.0565,1.2197,1.1632,Belmont
116,Aidan Reichert,-0.247,1.3531,1.1061,Mercyhurst
117,Aidan Richard,0.4381,0.1949,0.633,Holy Cross
118,Aidan Rubio,-0.5058,-0.1218,-0.6276,UNC Asheville
119,Aidan Shaw,1.5109,1.593,3.1039,Missouri
120,Aiden Sherrell,1.5578,2.1477,3.7055,Alabama
121,Aiden Tobiason,-0.803,1.7365,0.9336,Temple
122,Ajay Holubar,-0.7766,0.8475,0.0709,IU Indy
123,Ajay Sheldon,0.5215,1.0117,1.5332,Ohio
124,Ajay Tew,0.018,0.5508,0.5688,ULM
125,Akil Watson,-0.3966,0.0322,-0.3644,Massachusetts
126,Akili Evans,0.2122,-1.4778,-1.2656,Austin Peay
127,Akintola Akinniyi,-0.0379,-0.065,-0.1029,Quinnipiac
128,Akira Jacobs,-0.2295,0.2566,0.0271,Hawaii
129,Akrum Ahemed,3.3738,-0.2112,3.1626,UNC Greensboro
130,Al Green,-0.0122,1.2898,1.2776,Louisiana Tech
131,Alaaeddine Boutayeb,0.1009,-0.6875,-0.5866,Rider
132,Alden Applewhite,-0.3701,1.8245,1.4544,Murray State
133,Alec Millender,-0.8377,1.8908,1.0532,IU Indy
134,Alec Oglesby,0.7165,0.4712,1.1877,Middle Tenn.
135,Alejandro Vasquez,0.382,1.5395,1.9214,UAB
136,Aleks Szymczyk,-0.1601,-1.5293,-1.6894,Charlotte
137,Aleksandar Gavalyugov,-0.1174,0.3482,0.2308,Villanova
138,Aleksander Pachucki,-0.008,0.3369,0.3289,Fordham
139,Alem Huseinovic,1.3227,0.9673,2.29,Rice
140,Alex Anderson,-2.6784,-0.6794,-3.3578,Texas Southern
141,Alex Andrews,-0.0487,-0.0508,-0.0995,Florida A&M
142,Alex Bates,0.8995,-1.8432,-0.9437,Stonehill
143,Alex Chaikin,0.4582,2.3709,2.8291,Lafayette
144,Alex Condon,2.6609,2.8728,5.5337,Florida
145,Alex Cotton,-0.0868,0.0788,-0.008,North Texas
146,Alex Crawford,-1.2234,-1.5927,-2.8161,Fresno St.
147,Alex Daniels,0.1146,-0.0662,0.0483,American
148,Alex Doyle,-0.5859,-0.4087,-0.9946,Stetson
149,Alex Engro,0.2539,0.1332,0.3871,Army West Point
150,Alex Holt,0.1219,0.1924,0.3143,Mercer
151,Alex Horiuk,1.1347,-1.3314,-0.1967,Southern Ind.
152,Alex Huibregtse,-1.9028,1.563,-0.3398,Wright State
153,Alex Karaban,0.4368,3.8882,4.325,UConn
154,Alex Koch,0.4489,0.2345,0.6834,Mercer
155,Alex Kovatchev,0.9924,-0.6628,0.3296,Sacramento St.
156,Alex Leiba,0.4894,-0.0319,0.4575,Pepperdine
157,Alex McFadden,-0.3738,0.1329,-0.2409,Delaware
158,Alex Merkviladze,0.8581,1.6372,2.4953,LMU (CA)
159,Alex Nokes,0.4982,0.3875,0.8857,Lindenwood
160,Alex Raiford,-0.7045,-0.5268,-1.2313,Chicago State
161,Alex Tchikou,-0.0006,-0.3741,-0.3747,Detroit Mercy
162,Alex Tew,0.7832,-0.3777,0.4056,Weber State
163,Alexander Lesburt,0.2106,0.6311,0.8417,Brown
164,Alexander Nwagha,-0.7684,-0.6883,-1.4567,Northeastern
165,Alexis Marmolejos,0.2001,-0.0873,0.1128,Lamar University
166,Alexis Reyes,-0.0461,-0.5292,-0.5753,Quinnipiac
167,Alfred Worrell,-0.0194,-0.8082,-0.8276,Southern Miss.
168,Alfredo Addesa,-0.3582,1.4881,1.1299,Lehigh
169,Ali Dibba,0.7061,0.9239,1.6299,Southern Ill.
170,Ali Ragab,1.1795,0.6408,1.8203,Northern Ariz.
171,Alier Maluk,0.2759,-1.0916,-0.8157,Florida State
172,Alijah Curry,0.3739,0.0477,0.4215,Manhattan
173,Alijah Martin,1.8942,3.2032,5.0974,Florida
174,All Wright,-0.164,0.8931,0.7291,Valparaiso
175,Allen David Mukeba,0.1963,1.2458,1.4421,Oakland
176,Allen Myers,-0.1127,-0.1464,-0.2591,Manhattan
177,Allen Strothers,0.5259,1.8003,2.3263,ETSU
178,Allen Udemadu,-0.5225,-0.961,-1.4834,Missouri State
179,Almar Atlason,-1.219,1.1863,-0.0327,Bradley
180,Alonso Faure,-0.3829,-0.9511,-1.334,Pepperdine
181,Alonzo Dodd,1.487,0.89,2.377,App State
182,Alpha Chibambe,-0.0078,-0.4323,-0.4401,UMBC
183,Alphonzo Billups,-0.3783,-0.5693,-0.9476,VCU
184,Alston Andrews,1.0101,-1.5245,-0.5144,Delaware State
185,Alston Mason,0.1895,1.0866,1.2762,Arizona State
186,Alvaro Cardenas,1.781,4.1432,5.9243,Boise State
187,Alvaro Folgueiras,2.359,2.1057,4.4647,Robert Morris
188,Alvin Stredic,-2.3067,-4.4775,-6.7842,Mississippi Val.
189,Aly Tounkara,2.1049,0.4066,2.5115,Lindenwood
190,Alyn Breed,-0.2753,-0.4267,-0.702,McNeese
191,Amaan Sandhu,0.0147,-0.1437,-0.129,Manhattan
192,Amadou Doumbia,0.5134,-0.315,0.1984,Massachusetts
193,Amael L'Etang,2.3633,0.109,2.4722,Dayton
194,Amahrie Simpkins,-0.0911,0.0842,-0.007,Morgan State
195,Amani Drummond,0.465,-0.2908,0.1742,UIW
196,Amani Hansberry,2.5692,1.7528,4.322,West Virginia
197,Amani Lyles,0.209,1.2914,1.5004,Akron
198,Amar Augillard,0.584,-1.0292,-0.4452,Fresno St.
199,Amar Kuljuhovic,-1.1175,1.6353,0.5178,North Dakota
200,Amar'e Marshall,-0.8928,0.6169,-0.2759,UAlbany
201,Amare Campbell,0.0675,-0.6595,-0.592,Pacific
202,Amaree Abram,1.2988,2.7252,4.024,Louisiana Tech
203,Amari Jedkins,0.6612,-0.0002,0.6611,Montana
204,Amari McCottry,1.5196,-0.8476,0.6721,Saint Louis
205,Amari Williams,2.4808,3.4979,5.9787,Kentucky
206,Amarion Dickerson,1.7561,0.0007,1.7568,Robert Morris
207,Amarr Knox,-1.0456,-0.3377,-1.3833,Alabama State
208,Amarri Monroe,1.0597,0.7403,1.8,Quinnipiac
209,Amdy Ndiaye,0.3721,0.459,0.8311,Pittsburgh
210,Ametri Moss,-0.8198,0.2533,-0.5665,North Florida
211,Amier Ali,-0.7963,1.1508,0.3545,Arizona State
212,Amir Arrington,-0.2757,-0.0771,-0.3528,George Washington
213,Amir Lindsey,-0.0865,0.7445,0.658,UAlbany
214,Amir Nesbitt,0.6114,0.5182,1.1296,Stonehill
215,Amir Shaheed,0.2227,0.0496,0.2723,Towson
216,Amiri Stewart,-0.034,1.265,1.231,Sacred Heart
217,Amsal Delalic,0.5548,1.1854,1.7403,Pittsburgh
218,Anakin Brown,-0.1469,-0.0109,-0.1578,Jacksonville
219,Anastasios Rozakeas,-0.6867,-0.8772,-1.5639,Florida State
220,Anderson Kopp,1.7145,2.5893,4.3038,Kansas City
221,Andersson Garcia,3.1276,3.5744,6.702,Texas A&M
222,Andre Curbelo,1.0633,-0.0075,1.0559,Southern Miss.
223,Andre Henry,2.6212,0.6199,3.2412,UC Irvine
224,Andre Johnson,-0.6905,-0.5916,-1.2821,Utah Valley
225,Andre Lorentsson,-0.8612,1.5425,0.6813,Toledo
226,Andre Mulibea,0.7965,0.0239,0.8205,Coastal Carolina
227,Andre Nunley,1.3936,-0.9535,0.44,Southern U.
228,Andre Screen,0.7526,0.3953,1.1479,Butler
229,Andre Snoddy,-2.3327,0.8924,-1.4403,Stony Brook
230,Andre Weir,0.5129,-1.8794,-1.3665,Kennesaw State
231,Andre Young,1.0102,-0.6518,0.3584,Rider
232,Andrea Holden,-0.8146,-0.301,-1.1156,Wright State
233,Andrej Jakimovski,2.4306,0.8462,3.2768,Colorado
234,Andrej Stojakovic,0.9707,1.8325,2.8032,California
235,Andres Marrero,1.5052,0.027,1.5321,La Salle
236,Andrew Akuchie,0.0568,-1.4613,-1.4045,Rice
237,Andrew Alia,0.7057,-0.3996,0.3061,Drake
238,Andrew Bailey,0.0934,-0.0796,0.0138,Charlotte
239,Andrew Ball,0.1808,1.2084,1.3892,Monmouth
240,Andrew Canda,0.0804,-0.1974,-0.117,FDU
241,Andrew Carr,3.7098,3.2062,6.916,Kentucky
242,Andrew Cook,-1.6589,1.6263,-0.0325,Eastern Wash.
243,Andrew Holifield,3.2301,1.4496,4.6798,Lamar University
244,Andrew King,-1.0037,1.0072,0.0035,Elon
245,Andrew Latiff,-0.2559,0.0105,-0.2454,Clemson
246,Andrew McConnell,0.0089,0.3129,0.3218,USC Upstate
247,Andrew McKeever,0.1511,-0.5301,-0.379,Saint Mary's (CA)
248,Andrew McKenna,0.3547,-0.0187,0.336,Pacific
249,Andrew Meadow,-0.6104,1.6862,1.0758,Boise State
250,Andrew Morgan,0.0823,-0.7385,-0.6563,Nebraska
251,Andrew Nagy,-0.7217,0.2938,-0.4279,Long Beach State
252,Andrew Phillips,0.4452,0.6654,1.1106,Lafayette
253,Andrew Rohde,-1.4341,0.2164,-1.2177,Virginia
254,Andrew Sineway,0.0037,0.2224,0.2261,High Point
255,Andrew Taylor,-0.0633,0.5859,0.5226,Stetson
256,Andrew Welage,0.9958,0.8432,1.839,Wright State
257,Andrew Younan,0.8474,0.3734,1.2208,Weber State
258,Andrija Bukumirovic,-1.3882,1.0311,-0.357,UT Martin
259,Andrija Vukovic,-0.2317,0.4292,0.1975,Oklahoma State
260,Andy Stefonowicz,-0.0566,2.0577,2.0012,North Dakota State
261,Aneek Patil,-0.1464,0.0801,-0.0663,Queens (NC)
262,Angel Montas,-0.0036,-1.6535,-1.6571,Mercer
263,Angelo Brizzi,0.0814,0.9545,1.0359,Longwood
264,Angelo Ciaravino,0.2958,0.977,1.2728,Northwestern
265,Angelo Winkel,1.2973,-0.8971,0.4002,Eastern Wash.
266,Angok Anyang,0.5597,-0.302,0.2577,Alabama A&M
267,Anias Futrell,-0.1834,-0.412,-0.5955,Lindenwood
268,Aniwaniwa Tait-Jones,3.3091,4.0638,7.3729,UC San Diego
269,Annor Boateng,1.2352,0.1947,1.4299,Missouri
270,Anouar Mellouk,-0.1878,-2.1647,-2.3525,Morehead State
271,Anquan Boldin,0.6948,-1.1625,-0.4677,Buffalo
272,Anquan Hill,-0.6731,2.1309,1.4579,Sacred Heart
273,Ansley Almonor,0.6588,0.8476,1.5064,Kentucky
274,Antallah Sandlin'El,-1.1106,-0.6015,-1.7121,Robert Morris
275,Ante Beljan,0.2987,-0.4513,-0.1526,Little Rock
276,Ante Brzovic,1.188,1.4717,2.6597,Col. of Charleston
277,Anthony Alston,0.8495,0.3518,1.2013,App State
278,Anthony Arrington,0.1494,-0.7,-0.5507,Wofford
279,Anthony Batson,0.1149,-0.7377,-0.6228,Stanford
280,Anthony Benard,-2.3163,-2.1129,-4.4291,Canisius
281,Anthony Blunt,1.0533,1.8748,2.9281,UMass Lowell
282,Anthony Clayton,-0.1801,-0.1019,-0.282,Syracuse
283,Anthony Dell'Orso,0.9245,4.0087,4.9332,Arizona
284,Anthony Doppler,0.0781,0.2026,0.2807,North Dakota
285,Anthony Finkley,1.2353,1.7421,2.9774,Saint Joseph's
286,Anthony Gause,1.716,-0.5087,1.2073,Charleston So.
287,Anthony Leal,1.5155,2.072,3.5875,Indiana
288,Anthony McComb,-2.4059,-2.1927,-4.5986,New Hampshire
289,Anthony Morales,0.9804,-1.6469,-0.6665,Kent State
