,player,DRAPM,ORAPM,Total_RAPM,team
0,AC Bryant,-1.556,5.1777,3.6217,Alabama A&M
1,AD Diedhiou,-1.8783,-0.9887,-2.867,ULM
2,AJ Allenspach,-2.754,2.8294,0.0755,Army West Point
3,AJ Barnes,0.2208,-0.2468,-0.026,Southern U.
4,AJ Bates,0.1547,0.7646,0.9193,Louisiana Tech
5,AJ Braun,-1.3623,0.5169,-0.8454,California Baptist
6,AJ Brown,-1.8943,4.6619,2.7676,Ohio
7,AJ Burgin,-3.5074,1.8334,-1.674,Idaho State
8,AJ Casey,0.0126,-0.381,-0.3683,Saint Louis
9,AJ Clark,2.3273,-0.7819,1.5454,VMI
10,AJ Clayton,-1.8358,5.261,3.4252,Ohio
11,AJ Dancler,-4.9349,3.2858,-1.6491,Le Moyne
12,AJ Economou,-0.5048,-0.6823,-1.1871,Hawaii
13,AJ Ferguson,0.8665,2.1837,3.0502,Murray State
14,AJ George,-1.7725,1.1855,-0.587,SMU
15,AJ Hoggard,-0.393,2.9311,2.538,Vanderbilt
16,AJ Hopkins,0.5487,-2.7844,-2.2358,UT Martin
17,AJ LaBeau,0.2444,-0.2527,-0.0084,Cornell
18,AJ Levine,-0.9047,-2.0631,-2.9678,Penn
19,AJ Lopez,-1.5553,0.6137,-0.9416,Maine
20,AJ Lux,-0.7324,-1.6958,-2.4283,Bellarmine
21,AJ McBride,-0.3181,-0.1476,-0.4657,Niagara
22,AJ McGinnis,-1.6319,-0.9672,-2.599,Wichita State
23,AJ McKee,0.1665,3.169,3.3355,Milwaukee
24,AJ Patterson,-0.5607,-0.7951,-1.3559,Air Force
25,AJ Redd,-0.029,-0.4161,-0.4451,Illinois
26,AJ Rodriguez,-0.4179,-0.1719,-0.5898,Cornell
27,AJ Smith,-2.8163,3.2152,0.3989,James Madison
28,AJ Smith,-2.8163,3.2152,0.3989,Col. of Charleston
29,AJ Staton-McCray,-1.7272,1.5688,-0.1584,Miami (FL)
30,AJ Storr,-1.2779,0.018,-1.2599,Kansas
31,AJ Swinton,-0.3944,-0.0528,-0.4472,Florida State
32,AJ Wills,-1.7053,-1.2927,-2.998,Wyoming
