,player,DRAPM,ORAPM,Total_RAPM
120,Adam Moussa,1.3823,0.6654,2.0477
121,Adam Njie,0.5922,0.98,1.5721
122,Adam Olsen,0.4511,1.2738,1.7249
123,Adam Shoff,-0.1879,-0.3867,-0.5746
124,Adam Stewart,0.2314,-0.1687,0.0627
125,Adam Tauer,0.2832,0.7498,1.033
126,Adama Bal,2.1805,4.7392,6.9196
127,Adante' Holiman,-0.6754,0.5834,-0.092
128,Aday Mara,4.8526,3.9107,8.7633
129,Addarin Scott,-0.9618,-0.1961,-1.158
130,Addison Archer,-1.5796,-0.1153,-1.6949
131,Addison Arnold,-0.1668,-0.1189,-0.2857
132,Addison Patterson,4.9127,0.1647,5.0774
133,Ade Adebayo,3.004,1.9992,5.0033
134,Ade Popoola,0.2361,5.6271,5.8632
135,Adefemi Akinwole,0.22,0.2205,0.4405
136,Adem Bona,4.753,1.5694,6.3224
137,Ademide Badmus,-0.5811,-0.6624,-1.2435
138,Ademola Oladipo,-0.2434,0.7472,0.5038
139,Aden Haas,-0.6177,-0.3374,-0.9551
140,Aden Holloway,2.0835,7.7211,9.8047
141,Aden Tagaloa-Nelson,-0.0997,-0.354,-0.4537
142,Adeola Seun,8.9724,-3.445,5.5274
143,Adetokunbo Bakare,1.2399,1.9393,3.1792
144,Adlan Elamin,1.1645,4.4283,5.5929
145,Adou Thiero,3.7199,2.904,6.6239
146,Adrame Diongue,1.9312,-0.0433,1.8879
147,Adria Rodriguez,3.6599,0.7391,4.3991
148,Adrian McIntyre,0.8557,2.6047,3.4604
149,Adrian Myers,-2.0369,-1.4507,-3.4875
150,Adrian Samuels,4.3829,0.0174,4.4003
151,Adrian Uchidiuno,1.5978,-1.5987,-0.0009
152,Adrian Wooley,4.4063,5.7988,10.2051
153,Adriel Nyorha,-0.9114,2.3928,1.4814
154,Adrien Stevens,0.9945,2.3716,3.3662
155,Afan Trnka,0.9738,-2.7969,-1.8231
156,Aginaldo Neto,3.1395,1.0836,4.2231
157,Ahamad Bynum,-0.3191,2.6285,2.3094
158,Ahjany Lee,-0.1342,0.4562,0.3221
159,Ahmad Hamilton,-0.0492,-1.2433,-1.2926
160,Ahmad Henderson,-0.2201,1.2452,1.0251
161,Ahmad Nowell,-0.3313,3.0244,2.693
162,Ahmad Robinson,3.1627,2.1509,5.3137
163,Ahmard Harvey,1.8228,0.9892,2.812
164,Ahmed Barba-Bey,-1.0665,-0.0849,-1.1514
165,Ahmed Essahaty,-1.4466,-0.5145,-1.9612
166,Ahmet Jonovic,2.5852,1.4022,3.9874
167,Ahmir Langlais,1.6443,-3.447,-1.8028
168,Ahren Freeman,1.533,0.7795,2.3125
169,Ahron Ulis,-0.2555,-1.7678,-2.0233
170,Aidan Alexander,0.2543,-1.2952,-1.0409
171,Aidan Braccia,0.4029,0.3468,0.7497
