,player,DRAPM,ORAPM,Total_RAPM,team
0,A'Yiana Flemings,-0.2987,0.0742,-0.2244,McNeese
1,A'riel Jackson,-0.4297,1.8875,1.4578,Auburn
2,Aaiyanna Dunbar,-0.0719,0.3302,0.2583,Michigan
3,Aaliyah Chavez,1.7472,7.2141,8.9613,Oklahoma
4,Aaliyah Collins,0.1996,4.4483,4.6479,High Point
5,Aaliyah Crump,2.3432,4.4827,6.8259,Texas
6,Aaliyah Ellis,-2.5114,-1.6638,-4.1752,New Orleans
7,Aaliyah Grant,-1.2891,-1.1284,-2.4175,N.C. Central
8,Aaliyah Guyton,0.7603,3.7852,4.5455,Illinois
9,Aaliyah Henderson,-2.7124,-1.6485,-4.3609,Texas Southern
10,Aaliyah Ibarra,-0.503,-0.7496,-1.2526,Seattle U
11,Aaliyah Taylor,-1.9723,-2.7301,-4.7023,Mississippi Val.
12,Aalyah Del Rosario,1.5108,0.6541,2.1649,Vanderbilt
13,Abbey Cracknell,-0.7123,-0.5833,-1.2956,Marquette
14,Abbey Ferguson,-1.2607,-1.6132,-2.8738,Colgate
15,Abbey Kimball,-0.0821,4.3819,4.2998,Michigan State
16,Abbey Lindsey,-0.5537,-0.2638,-0.8174,Bryant
17,Abbey Schreacke,-0.6082,5.9207,5.3125,Missouri
18,Abby Cater,0.4371,4.6451,5.0822,Wichita State
19,Abby Eller,-0.4615,0.344,-0.1175,Wofford
20,Abby Jegede,0.0606,-0.1699,-0.1093,Tulsa
21,Abby Knauff,-1.3065,-1.8214,-3.1278,North Florida
22,Abby Price,0.9099,-0.4326,0.4773,Maine
23,Abby Sharpe,-0.6471,-0.2162,-0.8633,Penn
24,Abigail Holtman,-1.4789,3.6316,2.1526,Mercer
25,Abigail Shoff,-0.9384,1.3313,0.3929,Saint Mary's (CA)
26,Abigail Wright,-1.6603,3.2567,1.5964,Harvard
27,Ace Austin,2.3463,5.0064,7.3526,Alabama
28,Achol Akot,0.3968,7.7086,8.1054,Oklahoma State
29,Achol Magot,-0.4999,-0.5573,-1.0572,Arizona
30,Addi Mack,0.6978,6.0645,6.7623,Maryland
31,Addi Wedin,-3.1085,2.7423,-0.3663,Saint Mary's (CA)
32,Addison Baxter,-0.7206,1.7879,1.0673,Butler
33,Addison Deal,-0.2816,0.6915,0.4099,Iowa
34,Addison Melton,-2.1942,0.0859,-2.1083,Lipscomb
35,Addy Brown,3.5251,8.069,11.5941,Iowa State
36,Adeang Ring,0.3218,0.5789,0.9007,Virginia
37,Adelaide Jernigan,-2.1677,-0.6692,-2.8368,NC State
38,Adelyn Traylor-Walker,-1.4942,-0.8378,-2.332,Radford
39,Adhel Tac,1.1108,-0.0598,1.051,South Carolina
40,Adhel Tac,1.1108,-0.0598,1.051,North Texas
41,Adlee Blacklock,-0.2231,2.5508,2.3277,Texas Tech
42,Adna Halilbasic,-0.9138,-1.5606,-2.4744,UMass Lowell
43,Adrianna Smith,0.7323,8.5215,9.2538,Maine
44,Aga Makurat,-0.7177,4.2326,3.5149,Vanderbilt
45,Agot Makeer,4.1785,3.9421,8.1205,South Carolina
46,Ahmya Boyce,-3.1963,-4.2423,-7.4386,East Texas A&M
47,Ahnay Adams,2.5276,4.2708,6.7984,Miami (FL)
48,Aicha Ndour,1.5042,-2.2048,-0.7006,Georgia
49,Aijah Palmore,-2.5929,0.6145,-1.9783,USC Upstate
50,Aileen Marquez,-0.9458,-2.1384,-3.0841,UNC Asheville
51,Aili Tanke,-0.7137,0.7945,0.0809,Iowa State
52,Aina Cargol,-1.0142,2.808,1.7938,San Francisco
53,Aina Subirats,-2.014,-0.8736,-2.8876,Florida A&M
54,Airah Lavy,-1.7449,1.9166,0.1717,FGCU
55,Aisha Marten-Coney,-1.291,-2.2167,-3.5077,Southeastern La.
56,Aisse Coulibaly,-3.4078,-2.5935,-6.0013,Charleston So.
57,Aiyana Mitchell,0.5667,6.4477,7.0144,Vanderbilt
58,Aiyanna Culver,-2.7819,-0.0076,-2.7895,Chicago State
59,Aizhanique Mayo,-0.2436,1.6798,1.4361,DePaul
60,Akeelah Lafleur,1.6559,-1.03,0.6259,FDU
61,Alaina Nettles,-2.7508,0.5714,-2.1794,Charleston So.
62,Alaina Williams,2.0578,-1.5632,0.4946,UMBC
63,Alana Goodchild,-0.3482,0.7117,0.3636,Santa Clara
64,Alana Reddy,-4.3934,-0.376,-4.7693,Lehigh
65,Alana Shields,-4.8445,-5.0315,-9.876,Prairie View
66,Alanah Pooler,0.0226,2.6617,2.6843,Alabama State
67,Alancia Ramsey,0.0843,2.4077,2.492,Alabama
68,Alanna Neale,-0.222,-0.1815,-0.4035,Nebraska
69,Alary Bell,0.4382,1.3722,1.8104,Longwood
70,Alayna Rocco,-0.3416,1.2146,0.873,Harvard
71,Alayna West,-2.1688,0.0108,-2.158,DePaul
72,Alba Garcia,-2.7507,1.6757,-1.075,Charleston So.
73,Alba Martin Mesa,-0.5955,-0.3124,-0.9079,Wisconsin
74,Aleah James,-4.0046,-1.0967,-5.1013,Saint Francis
75,Aleah Sorrentino,-2.3981,2.8403,0.4421,Stetson
76,Alejandra Zuniga,-4.0963,3.5966,-0.4997,NJIT
77,Alex Covill,-0.9895,0.0373,-0.9522,Washington State
78,Alexa Washington,-3.6368,-1.5991,-5.2358,North Florida
79,Alexandra Eldredge,-3.8349,-0.225,-4.0599,Dartmouth
80,Alexandra Eschmeyer,1.9412,3.3744,5.3156,Stanford
81,Alexandria Johnson,-4.7331,-0.9154,-5.6485,Bethune-Cookman
82,Alexia Araujo-Dagba,-1.4674,1.283,-0.1844,Georgetown
83,Alexia Dizeko,0.3148,3.5735,3.8883,Florida
84,Alexis Calderon,-0.7297,0.1222,-0.6075,Northwestern State
85,Alexis Cox,0.1789,0.1307,0.3096,Central Ark.
86,Alexis Hess,-0.0389,-0.5205,-0.5594,Kansas State
87,Alexis Parker,-0.3826,-0.9035,-1.2861,Lamar University
88,Alexsandra Alvarado,-0.67,3.6844,3.0144,North Ala.
89,Alia Cordone,-0.3542,-1.4863,-1.8404,New Hampshire
90,Alicia Tournebize,0.907,1.0319,1.9389,South Carolina
91,Alie Bisballe,-0.6279,0.2695,-0.3584,Wisconsin
92,Alieghya Bartholomew,-3.6103,0.6105,-2.9998,Grambling
93,Alisa Blalock,-2.5747,-2.8101,-5.3848,Texas Southern
94,Alisa Williams,0.3582,6.5337,6.8918,Iowa State
95,Alisha Murray,1.1074,0.0322,1.1396,Grambling
96,Alisha Peavy,-1.4733,-1.6414,-3.1148,Tulsa
97,Alivia Cox,-0.3204,-0.9778,-1.2982,Central Ark.
98,Alivia Landy,0.6287,-2.0035,-1.3748,Wagner
99,Aliyah Collins,-5.6427,3.7738,-1.8689,Southeastern La.
100,Aliyahna Morris,0.7319,1.9742,2.7061,California
101,Allasia Washington,2.4954,3.274,5.7694,McNeese
102,Alliance Ndiba,-0.1417,4.3899,4.2482,Cincinnati
103,Allie Kubek,-1.0841,2.6985,1.6144,Florida State
104,Allie Sykes,-5.4104,0.0515,-5.3589,Presbyterian
105,Allie Turner,-2.6142,8.4542,5.8401,Gonzaga
106,Allie Ziebell,1.3153,9.1106,10.4259,UConn
107,Allison Cannon,-1.3207,1.7228,0.4022,NJIT
108,Allison Clarke,-0.3108,1.42,1.1092,LMU (CA)
109,Allison Heathcock,-0.158,2.4272,2.2691,Creighton
110,Allison Rickman,-0.5999,-1.5644,-2.1643,North Texas
111,Allison Schwertner,-3.4778,-2.6128,-6.0906,Boston U.
112,Ally Hollifield,-1.2396,1.2514,0.0118,Western Caro.
113,Ally Lovisolo,-1.3574,-2.1571,-3.5146,Loyola Maryland
114,Ally Schimel,-1.7036,3.5484,1.8448,Oregon State
115,Ally Timm,-3.0138,3.4748,0.4611,DePaul
116,Ally VanTimmeren,0.3738,1.4165,1.7903,Michigan
117,Alonya Waldon,-1.2901,3.4668,2.1767,North Florida
118,Althea Kara Angeles,1.474,2.5287,4.0028,Eastern Ky.
119,Alva Hedrich,0.0627,-2.0122,-1.9494,East Texas A&M
120,Alyssa Blanck,0.2019,-0.4206,-0.2188,Utah
121,Alyssa Clutter,-1.6987,-0.5865,-2.2852,North Ala.
122,Alyssa Crockett,-0.509,3.5747,3.0657,Michigan
123,Alyssa Ervin,-0.6481,5.5641,4.916,Furman
124,Alyssa Latham,1.8707,3.4413,5.312,Tennessee
125,Alyssa Lewis,-4.1045,-1.7024,-5.8069,Queens (NC)
126,Alyssa Tarpley,-0.4842,-1.8952,-2.3794,Samford
127,Amaia Jackson,-0.6347,-0.0353,-0.67,Clemson
128,Amanda Ajobiewe,0.5729,0.6439,1.2168,Georgetown
129,Amanda Mitchell,-0.076,-0.028,-0.104,Radford
130,Amanda Muse,0.9444,4.1102,5.0546,UCLA
131,Amandine Amorich,-3.6632,-0.1723,-3.8355,Loyola Maryland
132,Amani Bartlett,0.4833,-1.6397,-1.1564,Houston
133,Amani Jenkins,-0.1512,1.2934,1.1422,Virginia Tech
134,Amani Williams,-3.033,-2.9419,-5.9749,Presbyterian
135,Amarachi Kimpson,0.5232,6.4071,6.9303,Miami (FL)
136,Amarah Streiff,-2.1186,-1.4957,-3.6143,Colgate
137,Amari Franklin,-1.5439,-0.9273,-2.4712,Alabama State
138,Amari Whiting,2.0479,6.0842,8.1321,Oklahoma State
139,Amauri Williams,-0.3801,-2.1363,-2.5165,Memphis
140,Amaya Battle,3.679,6.2955,9.9745,Minnesota
141,Amaya Bonner,-0.0418,3.0383,2.9965,Florida State
142,Amaya Dowdy,-1.7336,-1.5753,-3.3089,Stonehill
143,Amaya Harris,-1.123,-2.5004,-3.6234,N.C. Central
144,Amaya Stewart,-2.2444,-0.1261,-2.3705,UAlbany
145,Amaya Williams,1.0953,1.2955,2.3908,Arizona State
146,Amber Scott,-0.0438,0.2415,0.1978,Alabama A&M
147,Amelia Hassett,2.6928,9.1906,11.8834,Kentucky
148,Amiah Hargrove,-0.326,8.5911,8.2652,Nebraska
149,Amina Gray,-2.7927,3.3541,0.5614,Gardner-Webb
150,Amina Kameric,-2.8701,-3.0932,-5.9633,UMass Lowell
151,Amina Muhammad,-0.0492,2.6014,2.5522,Oregon
152,Aminata Tal,-3.9674,-4.0336,-8.001,Presbyterian
153,Amira Mabry,-3.0046,3.0955,0.0909,Tulane
154,Amira Ofunniyin,-2.8846,-3.5271,-6.4116,Gardner-Webb
155,Amirah Abdur-Rahim,-0.0539,0.9526,0.8987,Houston
156,Amirah Anderson,-3.3738,3.4406,0.0667,Boston College
157,Amiya Evans,1.1857,-2.4271,-1.2415,Penn State
158,Amiya Jenkins,-1.334,-3.4347,-4.7687,Pittsburgh
159,Amiya Joyner,0.5379,9.4636,10.0015,LSU
160,Amiyah Donaldson,1.3015,-3.0898,-1.7883,Maine
161,Amor Harris,-3.69,1.5832,-2.1068,Longwood
162,Amourie Porter,-2.9038,5.277,2.3732,Winthrop
163,Amparo Lopez,-0.6918,-0.252,-0.9438,Northwestern
164,Amy Kurkowski,1.1763,0.6032,1.7796,Saint Mary's (CA)
165,Amy Pateman,-1.5687,-0.5607,-2.1294,San Francisco
166,Amy Terrian,-0.6133,6.1181,5.5047,Michigan State
167,Amya McLeod,-5.074,-1.4316,-6.5056,Le Moyne
168,Amya Scott,-4.1725,-1.6588,-5.8313,Delaware State
169,Ana Barreto,-3.2249,-1.6275,-4.8524,Queens (NC)
170,Ana Guillen,-2.2937,-0.646,-2.9396,Yale
171,Ana Milanovic,-2.2634,-1.2712,-3.5346,LMU (CA)
172,Anabel Latorre Ciria,0.0911,1.7087,1.7999,UMass Lowell
173,Anaelle Dutat,2.378,5.6524,8.0304,Colorado
174,Anaiah Jenkins,-1.2471,-1.7671,-3.0142,Radford
175,Anais Levasseur,-0.6359,-0.3294,-0.9653,UAlbany
176,Anaja Hall,-3.2287,-1.6369,-4.8656,Southern U.
177,Anala Nelson,-2.8862,2.4187,-0.4675,ETSU
178,Anastasia Drosouni,-0.0204,0.4994,0.4789,California
179,Anastasiia Semenova,-3.8898,2.0387,-1.8511,Boston U.
180,Anaya Brown,-1.8823,2.1485,0.2662,SMU
181,Anaya Hardy,1.259,5.8233,7.0823,Louisville
182,Anaya Harris,-0.7524,-3.0806,-3.833,Gardner-Webb
183,Andi Schissler,-0.505,4.6902,4.1852,North Texas
184,Andjela Bigovic,-3.7223,-1.392,-5.1142,Seattle U
185,Andjela Matic,-1.7921,4.1949,2.4028,LMU (CA)
186,Andrea Chiquemba,-4.8098,-1.868,-6.6777,Bellarmine
187,Andrea Jude,-0.8217,-0.4134,-1.2351,American
188,Anete Adler,-2.8752,4.2134,1.3382,Boston U.
