,player,DRAPM,ORAPM,Total_RAPM,team
0,A'Yiana Flemings,0.6293,1.1838,1.8131,McNeese
1,A'riel Jackson,0.3006,1.0421,1.3427,Auburn
2,Aaiyanna Dunbar,0.2343,0.836,1.0702,Michigan
3,Aaliyah Chavez,4.0494,3.6198,7.6692,Oklahoma
4,Aaliyah Collins,2.0022,3.0999,5.1021,High Point
5,Aaliyah Crump,2.3233,3.0346,5.3579,Texas
6,Aaliyah Ellis,-1.5513,-2.3703,-3.9216,New Orleans
7,Aaliyah Grant,-0.4932,-0.1356,-0.6287,N.C. Central
8,Aaliyah Guyton,1.2771,3.1276,4.4047,Illinois
9,Aaliyah Henderson,-0.3078,-1.317,-1.6248,Texas Southern
10,Aaliyah Ibarra,0.7711,0.1089,0.88,Seattle U
11,Aaliyah Taylor,-1.0515,-2.4959,-3.5474,Mississippi Val.
12,Aalyah Del Rosario,1.4311,1.1317,2.5628,Vanderbilt
13,Abbey Cracknell,-1.0502,-0.9018,-1.952,Marquette
14,Abbey Ferguson,2.2643,-2.5572,-0.2929,Colgate
15,Abbey Kimball,1.2773,4.247,5.5243,Michigan State
16,Abbey Lindsey,0.8782,0.4606,1.3388,Bryant
17,Abbey Schreacke,0.6584,4.9271,5.5855,Missouri
18,Abby Cater,1.9421,3.1134,5.0555,Wichita State
19,Abby Eller,0.9059,1.6019,2.5078,Wofford
20,Abby Jegede,2.4219,-2.3721,0.0498,Tulsa
21,Abby Knauff,1.1045,-2.5272,-1.4226,North Florida
22,Abby Price,3.4663,0.2626,3.729,Maine
23,Abby Sharpe,0.4332,0.1487,0.5819,Penn
24,Abigail Holtman,-0.0222,3.0157,2.9935,Mercer
25,Abigail Shoff,1.2015,-0.9672,0.2343,Saint Mary's (CA)
26,Abigail Wright,-0.3976,-0.5523,-0.9499,Harvard
27,Ace Austin,4.1517,4.5005,8.6522,Alabama
28,Achol Akot,-0.0258,4.6708,4.6449,Oklahoma State
29,Achol Magot,0.4949,1.6098,2.1047,Arizona
30,Addi Mack,1.2285,4.4694,5.698,Maryland
31,Addi Wedin,-2.3989,1.1428,-1.256,Saint Mary's (CA)
32,Addison Baxter,1.0921,1.9035,2.9956,Butler
33,Addison Deal,1.1347,-0.4528,0.6819,Iowa
34,Addison Melton,-1.9362,-0.334,-2.2702,Lipscomb
35,Addy Brown,5.3269,6.1776,11.5045,Iowa State
36,Adeang Ring,1.1732,0.0977,1.2709,Virginia
37,Adelaide Jernigan,-2.4273,-0.5341,-2.9614,NC State
38,Adelyn Traylor-Walker,-0.4102,-0.7129,-1.1231,Radford
39,Adhel Tac,1.5673,-1.2926,0.2748,South Carolina
40,Adhel Tac,1.5673,-1.2926,0.2748,North Texas
41,Adlee Blacklock,0.6316,1.1852,1.8168,Texas Tech
42,Adna Halilbasic,3.1112,-0.9624,2.1488,UMass Lowell
43,Adrianna Smith,2.0487,1.6583,3.707,Maine
44,Aga Makurat,0.1692,2.6674,2.8366,Vanderbilt
45,Agot Makeer,3.8453,0.3035,4.1488,South Carolina
46,Ahmya Boyce,-1.0854,-4.1229,-5.2083,East Texas A&M
47,Ahnay Adams,4.4079,2.4668,6.8747,Miami (FL)
48,Aicha Ndour,1.5713,-1.7989,-0.2276,Georgia
49,Aijah Palmore,-0.0845,-0.0686,-0.1532,USC Upstate
50,Aileen Marquez,2.9006,-2.833,0.0676,UNC Asheville
51,Aili Tanke,-0.3281,0.6679,0.3397,Iowa State
52,Aina Cargol,1.828,2.8587,4.6867,San Francisco
53,Aina Subirats,-0.4365,-1.4967,-1.9332,Florida A&M
54,Airah Lavy,-0.152,0.5063,0.3543,FGCU
55,Aisha Marten-Coney,0.8147,0.0422,0.8569,Southeastern La.
56,Aisse Coulibaly,-1.9502,-2.5026,-4.4527,Charleston So.
57,Aiyana Mitchell,0.2404,5.1944,5.4349,Vanderbilt
58,Aiyanna Culver,-2.0819,-3.1127,-5.1946,Chicago State
59,Aizhanique Mayo,2.2503,1.187,3.4372,DePaul
60,Akeelah Lafleur,2.339,-0.4126,1.9263,FDU
61,Alaina Nettles,-0.9562,0.7611,-0.195,Charleston So.
62,Alaina Williams,4.1161,-3.2918,0.8243,UMBC
63,Alana Goodchild,1.1143,-0.4255,0.6888,Santa Clara
64,Alana Reddy,-2.7097,-0.4556,-3.1652,Lehigh
65,Alana Shields,-1.8636,-5.5106,-7.3742,Prairie View
66,Alanah Pooler,3.3657,2.9586,6.3243,Alabama State
67,Alancia Ramsey,-0.9226,1.3938,0.4712,Alabama
68,Alanna Neale,0.412,0.6661,1.0781,Nebraska
69,Alary Bell,1.1437,2.1923,3.3359,Longwood
70,Alayna Rocco,0.8027,-0.3279,0.4749,Harvard
71,Alayna West,-2.0828,-1.0185,-3.1013,DePaul
72,Alba Garcia,-3.3806,1.3191,-2.0615,Charleston So.
73,Alba Martin Mesa,-0.6298,-0.3403,-0.9701,Wisconsin
74,Aleah James,0.8238,-2.0046,-1.1808,Saint Francis
75,Aleah Sorrentino,-0.9915,1.232,0.2405,Stetson
76,Alejandra Zuniga,-0.5101,2.4757,1.9656,NJIT
77,Alex Covill,0.2262,0.8345,1.0607,Washington State
78,Alexa Washington,-1.4395,-2.431,-3.8705,North Florida
79,Alexandra Eldredge,-1.8039,-1.0791,-2.883,Dartmouth
80,Alexandra Eschmeyer,2.3769,0.9762,3.3531,Stanford
81,Alexandria Johnson,-2.6431,-1.4584,-4.1015,Bethune-Cookman
82,Alexia Araujo-Dagba,-1.253,1.4386,0.1856,Georgetown
83,Alexia Dizeko,1.2876,3.5499,4.8375,Florida
84,Alexis Calderon,0.5218,1.4581,1.9799,Northwestern State
85,Alexis Cox,1.3167,0.6057,1.9225,Central Ark.
86,Alexis Hess,0.3469,-0.8526,-0.5057,Kansas State
87,Alexis Parker,0.0313,-1.9725,-1.9412,Lamar University
88,Alexsandra Alvarado,2.6144,2.5883,5.2027,North Ala.
89,Alia Cordone,1.2936,-1.3336,-0.0399,New Hampshire
90,Alicia Tournebize,0.0183,0.8011,0.8194,South Carolina
91,Alie Bisballe,-0.2581,0.0352,-0.2229,Wisconsin
92,Alieghya Bartholomew,-2.9724,0.6073,-2.3651,Grambling
93,Alisa Blalock,-1.5244,-1.1476,-2.6719,Texas Southern
94,Alisa Williams,1.0972,5.6997,6.7969,Iowa State
95,Alisha Murray,2.8335,-0.5187,2.3148,Grambling
96,Alisha Peavy,-0.8868,-1.6617,-2.5485,Tulsa
97,Alivia Cox,0.3454,-0.9866,-0.6412,Central Ark.
98,Alivia Landy,2.062,0.2766,2.3386,Wagner
99,Aliyah Collins,-4.0188,-1.0507,-5.0696,Southeastern La.
100,Aliyahna Morris,2.5244,0.1142,2.6387,California
101,Allasia Washington,4.5776,4.6218,9.1994,McNeese
102,Alliance Ndiba,0.9158,3.4204,4.3362,Cincinnati
103,Allie Kubek,-0.2725,-0.0717,-0.3442,Florida State
104,Allie Sykes,-2.8455,-0.6157,-3.4612,Presbyterian
105,Allie Turner,-0.5052,5.5472,5.0419,Gonzaga
106,Allie Ziebell,2.1112,6.8994,9.0106,UConn
107,Allison Cannon,0.1568,0.6786,0.8354,NJIT
108,Allison Clarke,-0.5267,1.0142,0.4874,LMU (CA)
109,Allison Heathcock,1.3543,0.8921,2.2465,Creighton
110,Allison Rickman,-0.419,-1.2036,-1.6227,North Texas
111,Allison Schwertner,-1.4354,-1.854,-3.2893,Boston U.
112,Ally Hollifield,2.3649,-1.0943,1.2706,Western Caro.
113,Ally Lovisolo,-1.2087,-1.9238,-3.1325,Loyola Maryland
114,Ally Schimel,-1.2297,3.8243,2.5946,Oregon State
115,Ally Timm,-0.3393,1.5758,1.2366,DePaul
116,Ally VanTimmeren,1.0555,1.2116,2.2672,Michigan
117,Alonya Waldon,1.6107,4.1734,5.7841,North Florida
118,Althea Kara Angeles,2.5878,1.5348,4.1226,Eastern Ky.
119,Alva Hedrich,0.9808,-1.8776,-0.8968,East Texas A&M
120,Alyssa Blanck,0.6076,-0.8136,-0.2061,Utah
121,Alyssa Clutter,-0.8187,-1.2589,-2.0776,North Ala.
122,Alyssa Crockett,-1.0315,3.8355,2.804,Michigan
123,Alyssa Ervin,1.6915,3.0663,4.7578,Furman
124,Alyssa Latham,1.4295,1.3922,2.8217,Tennessee
125,Alyssa Lewis,-2.1112,-3.605,-5.7162,Queens (NC)
126,Alyssa Tarpley,1.9378,-1.2763,0.6616,Samford
127,Amaia Jackson,0.3222,0.0822,0.4044,Clemson
128,Amanda Ajobiewe,1.4899,-0.4292,1.0607,Georgetown
129,Amanda Mitchell,0.1864,-0.0645,0.1219,Radford
130,Amanda Muse,0.7942,4.3232,5.1174,UCLA
131,Amandine Amorich,-1.2068,-0.2131,-1.4199,Loyola Maryland
132,Amani Bartlett,1.0152,-1.8083,-0.7931,Houston
133,Amani Jenkins,-0.5914,1.5837,0.9923,Virginia Tech
134,Amani Williams,-0.0656,-2.175,-2.2405,Presbyterian
135,Amarachi Kimpson,1.4366,4.7584,6.195,Miami (FL)
136,Amarah Streiff,-0.2836,0.1635,-0.1201,Colgate
137,Amari Franklin,0.4633,-1.8389,-1.3756,Alabama State
138,Amari Whiting,3.1283,4.994,8.1223,Oklahoma State
139,Amauri Williams,1.5386,-2.4492,-0.9105,Memphis
140,Amaya Battle,5.4293,5.6299,11.0592,Minnesota
141,Amaya Bonner,1.2142,3.8648,5.079,Florida State
142,Amaya Dowdy,-1.4764,-1.145,-2.6214,Stonehill
143,Amaya Harris,1.1824,-1.2055,-0.0231,N.C. Central
144,Amaya Stewart,0.3956,-2.359,-1.9634,UAlbany
145,Amaya Williams,2.2176,1.4521,3.6696,Arizona State
146,Amber Scott,0.5863,0.4016,0.9879,Alabama A&M
147,Amelia Hassett,3.0128,7.0011,10.0139,Kentucky
148,Amiah Hargrove,1.3194,5.6415,6.9609,Nebraska
149,Amina Gray,0.954,-0.0802,0.8738,Gardner-Webb
150,Amina Kameric,-1.3772,-3.5396,-4.9168,UMass Lowell
151,Amina Muhammad,0.0044,1.1911,1.1956,Oregon
152,Aminata Tal,-0.4135,-2.6605,-3.074,Presbyterian
153,Amira Mabry,-1.8317,1.3557,-0.476,Tulane
154,Amira Ofunniyin,-0.6409,-1.0189,-1.6598,Gardner-Webb
155,Amirah Abdur-Rahim,1.2684,-0.6406,0.6278,Houston
156,Amirah Anderson,-1.6557,2.0282,0.3725,Boston College
