,player,DRAPM,ORAPM,Total_RAPM,team
0,A'riel Jackson,-0.0803,2.1584,2.0781,Cincinnati
1,AC Markham,-0.9129,-2.38,-3.2929,USC Upstate
2,AJ Ediger,-1.0248,0.6141,-0.4107,Iowa
3,AJ Marotte,0.4177,0.7695,1.1872,Oregon State
4,Aaiyanna Dunbar,0.8703,0.5586,1.4288,Michigan
5,Aalayah Wilson,-0.3226,-1.0317,-1.3543,Lindenwood
6,Aaliyah Alexander,2.0588,4.3523,6.4111,UNLV
7,Aaliyah Collins,2.8109,-0.2037,2.6072,High Point
8,Aaliyah Davis,-1.0473,-0.5074,-1.5547,UTEP
9,Aaliyah Duranham,0.807,1.1121,1.9191,Mississippi Val.
10,Aaliyah Ellis,1.8447,0.6747,2.5194,New Orleans
11,Aaliyah Gayles,-0.3708,0.5101,0.1393,Southern California
12,Aaliyah Guyton,1.707,0.4363,2.1433,Iowa
13,Aaliyah Henderson,1.155,0.1892,1.3443,Texas Southern
14,Aaliyah Holmes,-0.5587,0.7945,0.2358,Morehead State
15,Aaliyah Hunt,-0.1682,0.302,0.1338,Georgia State
16,Aaliyah Ibarra,0.8296,-1.418,-0.5885,Utah Tech
17,Aaliyah McQueen,0.5512,0.5471,1.0983,Detroit Mercy
18,Aaliyah Moore,0.6483,2.904,3.5523,Texas
19,Aaliyah Moore,0.6483,2.904,3.5523,Omaha
20,Aaliyah Nye,3.5694,4.5373,8.1067,Alabama
21,Aaliyah Pitts,-0.8307,-0.0586,-0.8893,FIU
22,Aaliyah Roberson,0.3801,4.7704,5.1505,TCU
23,Aaliyah Stanton,-0.6332,0.0176,-0.6156,Cal St. Fullerton
24,Aalyah Del Rosario,1.0553,0.3182,1.3735,LSU
25,Aanaya Harris,-0.6434,-1.4022,-2.0456,Charlotte
26,Aaniya Webb,-1.1415,-0.9921,-2.1336,Tennessee State
27,Aarionna Redman,-0.1275,0.3598,0.2323,Marshall
28,Aaronette Vonleh,1.7639,3.9022,5.666,Baylor
29,Aaryn Battle,-0.3941,0.1966,-0.1975,Pittsburgh
30,Aasia Sam,0.0751,0.671,0.7461,Louisiana
31,Abaigeal Babore,0.3113,2.1345,2.4459,FDU
32,Abbey Cracknell,1.9676,-0.0519,1.9156,Marquette
33,Abbey Ferguson,0.3888,-0.0337,0.355,Colgate
34,Abbey Kimball,2.1571,0.3249,2.482,Michigan State
35,Abbey Lindsey,-0.4378,-2.8952,-3.333,UMass Lowell
36,Abbey Schreacke,0.5137,2.0296,2.5433,Missouri
37,Abbie Aalsma,0.4656,6.0008,6.4664,Drake
38,Abbie Davidson,0.2771,0.0838,0.3608,Youngstown State
39,Abbie Draper,0.2368,-0.5366,-0.2998,North Dakota State
40,Abbie Riddle,-0.6965,-0.1529,-0.8494,Wright State
41,Abby Antognoli,-2.7422,-1.0194,-3.7616,Lafayette
42,Abby Cater,0.8342,-2.2592,-1.425,Austin Peay
43,Abby Conklin,-0.1899,1.2824,1.0926,FDU
44,Abby Graham,0.6098,3.3528,3.9625,North Dakota State
45,Abby Holtman,-1.9869,1.4177,-0.5691,Cincinnati
46,Abby Jegede,-0.2097,-0.2758,-0.4855,Northeastern
47,Abby Krzewinski,0.8362,1.8771,2.7133,North Dakota State
48,Abby Liber,0.7126,-2.0829,-1.3703,Youngstown State
49,Abby Misier,-0.3355,-0.2642,-0.5997,Binghamton
50,Abby Muse,-0.2356,1.4414,1.2059,Boise State
51,Abby Ray,2.4155,0.1598,2.5753,UAlbany
52,Abby Schulte,0.8462,-0.0474,0.7988,North Dakota State
53,Abby Sharpe,0.4882,0.2269,0.7151,Penn
54,Abby Stephens,-0.8966,-0.952,-1.8486,UT Martin
55,Abby Wolterman,-0.0648,1.1363,1.0715,Northern Ky.
56,Abigail Holtman,0.2493,-0.171,0.0783,Cincinnati
57,Abigail Jegede,-1.8819,-1.4387,-3.3206,Northeastern
58,Abigail Long,-0.813,0.6966,-0.1164,Yale
59,Abigail Shoff,-0.8037,1.2265,0.4228,Saint Mary's (CA)
60,Abigail Wilson,-1.7515,-2.9554,-4.7069,UNC Asheville
61,Abigail Wright,0.8376,3.9048,4.7424,Harvard
62,Aby Shubert,-0.4623,1.22,0.7577,Montana
63,Acacia Hayes,-0.9286,0.2856,-0.643,Western Ky.
64,Achol Akot,1.5428,2.7842,4.327,UCF
65,Achol Magot,0.6624,-0.0615,0.6009,Texas Tech
66,Adalia McKenzie,2.5173,4.67,7.1873,Illinois
67,Adalyn Koelling,-0.2733,-0.008,-0.2813,Murray State
68,Adaora Nwokeji,0.1711,0.4047,0.5757,Princeton
69,Adara Groman,0.5492,0.0303,0.5795,South Dakota
70,Addi Brownfield,0.5089,0.0993,0.6082,Western Ill.
71,Addi Melone,-0.1628,-0.6832,-0.846,Pepperdine
72,Addie Budnik,3.0161,3.2489,6.265,Richmond
73,Addie Porter,1.6366,1.5199,3.1565,Clemson
74,Addisen Mastriano,0.0964,0.2396,0.336,Detroit Mercy
75,Addison Hall,0.2346,0.5215,0.7561,Eastern Wash.
76,Addison Harris,1.6022,1.726,3.3282,Montana State
77,Addison Klosterbuer,0.1065,-0.143,-0.0364,South Dakota
78,Addison Martin,-0.029,3.3837,3.3546,Illinois State
79,Addison Melton,-0.6736,1.0932,0.4197,Lipscomb
80,Addison O'Grady,0.9078,0.1891,1.0968,Iowa
81,Addy Brown,3.051,6.4296,9.4807,Iowa State
82,Adeang Ring,-0.7982,1.0096,0.2114,UCF
83,Adebukola Akomolafe,-0.3772,0.4554,0.0782,VCU
84,Adelyn Traylor-Walker,-1.0339,-0.7927,-1.8265,Radford
85,Adena Webster,0.4739,-0.2537,0.2202,Temple
86,Adhel Tac,-0.5349,0.7372,0.2023,South Carolina
87,Adiana Pacheco,-0.3815,-0.6275,-1.009,Marshall
88,Adison Novosel,-0.0682,0.9847,0.9165,Arizona State
89,Adlee Blacklock,0.7303,1.1607,1.891,Texas Tech
90,Adna Halilbasic,-0.0206,0.1993,0.1786,Louisiana Tech
91,Adout Ring,-0.2393,-0.6343,-0.8737,Presbyterian
92,Adreanna Waddle,-1.8041,-1.2428,-3.0469,Prairie View
93,Adria Lincoln,-1.0738,-0.6887,-1.7625,Montana
94,Adriana Arroyo,-1.4179,0.3149,-1.103,Eastern Ill.
95,Adriana Blazquez,0.0875,-0.7349,-0.6475,Murray State
96,Adriana Jones,0.4479,1.5074,1.9554,Troy
97,Adriana Shipp-Davis,-0.4543,-0.5305,-0.9848,Radford
98,Adrianna Gonzalez,-0.1394,-1.0378,-1.1771,Iona
99,Adryana Quezada,0.0291,0.5794,0.6086,San Diego State
100,Aga Makurat,0.5098,1.0023,1.5121,Vanderbilt
101,Agnes Emma-Nnopu,2.322,4.7007,7.0227,TCU
102,Ahnay Adams,0.7994,1.7014,2.5008,Miami (FL)
103,Ahniysha Jackson,-0.3873,1.0946,0.7073,Siena
104,Aicha Coulibaly,3.6257,2.3827,6.0083,Texas A&M
105,Aicha Ndour,-0.8464,-2.3686,-3.215,Wichita State
106,Aileen Marquez,-2.2855,-3.4556,-5.7411,Morehead State
107,Aili Tanke,1.9025,1.5772,3.4797,Iowa State
108,Aima Ofunrein,-1.4387,0.0951,-1.3436,Brown
109,Aimee Flippen,0.0359,-0.577,-0.5412,Abilene Christian
110,Aina Grane Torres,1.0226,-1.0207,0.0019,Boston U.
111,Aina Roque,0.351,-0.2117,0.1392,New Hampshire
112,Aina Subirats,-0.4755,0.2353,-0.2402,Florida A&M
113,Ainaya Williams,-0.4964,-1.7823,-2.2787,Southeast Mo. St.
114,Ainhoa Cea,-0.5392,2.2327,1.6935,Lipscomb
115,Ainsley Holthaus,-0.37,0.2143,-0.1557,Western Ill.
116,Airah Lavy,-2.7838,-0.9406,-3.7244,Saint Francis
117,Aisha Dabo,-0.5603,-2.0691,-2.6293,Hampton
118,Aislin Malcolm,-0.027,-1.4756,-1.5026,Pittsburgh
119,Aislinn Gibson,-0.1883,-1.2432,-1.4315,William & Mary
120,Aislynn Hayes,-1.7656,0.1777,-1.5879,Marshall
121,Aixchel Hernandez,-0.6132,-1.6999,-2.3131,Cal St. Fullerton
122,Aiyana Mitchell,0.8973,1.7426,2.6399,Vanderbilt
123,Aiyanna Culver,-1.4115,-0.3465,-1.7579,Chicago State
124,Aizhanique Mayo,1.1538,-0.6398,0.5141,Xavier
125,Aja Austin,0.0171,-0.7119,-0.6948,Ohio
126,Ajae Petty,1.6553,2.8799,4.5352,Ohio State
127,Ajia James,0.5704,2.2688,2.8392,N.C. A&T
128,Ajok Madol,0.7104,-0.168,0.5424,Dayton
129,Akasha Davis,1.5374,3.7627,5.3001,Lamar University
130,Alahna Paige,1.6355,1.5056,3.1411,FGCU
131,Alaina Harper,-0.4289,-0.2205,-0.6494,Purdue
132,Alaina Nettles,0.1732,-0.0598,0.1134,Charleston So.
133,Alaina Payne,0.2391,-1.0156,-0.7765,Little Rock
134,Alaina Williams,0.9902,-1.8848,-0.8946,UMBC
135,Alaisha Brown,-1.0605,-0.0627,-1.1232,Denver
136,Alana Andrews,-0.0977,0.2271,0.1294,Cornell
137,Alana Goodchild,-1.3698,0.7754,-0.5944,Santa Clara
138,Alana Goosby,0.6546,-1.103,-0.4484,Cal Poly
139,Alana Powell,0.0968,-1.9396,-1.8429,Omaha
140,Alana Rouser,-0.3942,0.2515,-0.1427,Fla. Atlantic
141,Alana Swift,0.6205,-0.774,-0.1535,UNC Asheville
142,Alanah Pooler,0.7275,-1.5171,-0.7896,Alabama State
143,Alancia Ramsey,0.9007,4.0635,4.9643,Coastal Carolina
144,Alani Encinas,-0.2715,-0.2813,-0.5529,Portland State
