,player,DRAPM,ORAPM,Total_RAPM,team
0,A'riel Jackson,-0.6257,2.7125,2.0868,Cincinnati
1,AC Markham,-2.1504,-2.4831,-4.6335,USC Upstate
2,AJ Ediger,-1.0608,0.6211,-0.4398,Iowa
3,AJ Marotte,-1.8619,1.6673,-0.1946,Oregon State
4,Aaiyanna Dunbar,0.7387,0.6944,1.4331,Michigan
5,Aalayah Wilson,-1.1786,-1.9399,-3.1185,Lindenwood
6,Aaliyah Alexander,0.2939,5.8989,6.1928,UNLV
7,Aaliyah Collins,2.368,0.4982,2.8662,High Point
8,Aaliyah Davis,-1.2059,-0.8521,-2.058,UTEP
9,Aaliyah Duranham,-0.3503,-0.2073,-0.5576,Mississippi Val.
10,Aaliyah Ellis,0.0946,-0.0243,0.0703,New Orleans
11,Aaliyah Gayles,-0.3749,0.4789,0.104,Southern California
12,Aaliyah Guyton,1.2968,1.2138,2.5105,Iowa
13,Aaliyah Henderson,0.051,-0.0237,0.0273,Texas Southern
14,Aaliyah Holmes,-2.1813,0.309,-1.8723,Morehead State
15,Aaliyah Hunt,-0.3442,0.3398,-0.0044,Georgia State
16,Aaliyah Ibarra,-1.4973,-0.6706,-2.168,Utah Tech
17,Aaliyah McQueen,-0.8909,3.0618,2.171,Detroit Mercy
18,Aaliyah Moore,-0.3549,4.1877,3.8328,Texas
19,Aaliyah Moore,-0.3549,4.1877,3.8328,Omaha
20,Aaliyah Nye,2.6731,8.1031,10.7762,Alabama
21,Aaliyah Pitts,-2.2532,0.6298,-1.6234,FIU
22,Aaliyah Roberson,0.4362,8.3089,8.745,TCU
23,Aaliyah Stanton,-2.8793,2.8293,-0.05,Cal St. Fullerton
24,Aalyah Del Rosario,0.5458,0.003,0.5488,LSU
25,Aanaya Harris,-0.9235,-2.0605,-2.984,Charlotte
26,Aaniya Webb,-3.1301,-1.093,-4.2232,Tennessee State
27,Aarionna Redman,-0.2969,0.3837,0.0867,Marshall
28,Aaronette Vonleh,1.6673,7.3509,9.0183,Baylor
29,Aaryn Battle,-1.1367,0.6009,-0.5358,Pittsburgh
30,Aasia Sam,-0.9414,-0.4048,-1.3462,Louisiana
31,Abaigeal Babore,-1.5583,3.1038,1.5455,FDU
32,Abbey Cracknell,1.9506,-0.2457,1.7049,Marquette
33,Abbey Ferguson,0.1314,-0.1659,-0.0346,Colgate
34,Abbey Kimball,0.9799,0.1275,1.1075,Michigan State
35,Abbey Lindsey,-3.6595,-2.9356,-6.595,UMass Lowell
36,Abbey Schreacke,-0.7409,5.4095,4.6686,Missouri
37,Abbie Aalsma,-1.4434,8.4586,7.0153,Drake
38,Abbie Davidson,0.1444,0.056,0.2004,Youngstown State
39,Abbie Draper,-0.581,1.1586,0.5776,North Dakota State
40,Abbie Riddle,-2.4286,-1.5881,-4.0167,Wright State
41,Abby Antognoli,-5.2458,1.8075,-3.4383,Lafayette
42,Abby Cater,0.3683,-1.9257,-1.5574,Austin Peay
43,Abby Conklin,-2.2376,0.8388,-1.3988,FDU
44,Abby Graham,0.0548,3.4685,3.5234,North Dakota State
45,Abby Holtman,-2.2513,2.9066,0.6553,Cincinnati
46,Abby Jegede,-0.6002,0.1908,-0.4094,Northeastern
47,Abby Krzewinski,-0.7474,2.7294,1.982,North Dakota State
48,Abby Liber,0.2538,-2.5108,-2.257,Youngstown State
49,Abby Misier,-0.9716,-0.9242,-1.8958,Binghamton
50,Abby Muse,0.4382,2.3489,2.7871,Boise State
51,Abby Ray,2.0109,-0.707,1.3039,UAlbany
52,Abby Schulte,0.1997,-0.8134,-0.6137,North Dakota State
53,Abby Sharpe,-0.1971,0.1696,-0.0275,Penn
54,Abby Stephens,-1.3715,0.0832,-1.2883,UT Martin
55,Abby Wolterman,-1.4927,1.859,0.3664,Northern Ky.
56,Abigail Holtman,0.1723,-0.177,-0.0047,Cincinnati
57,Abigail Jegede,-5.7945,0.5616,-5.2329,Northeastern
58,Abigail Long,-2.7355,0.6424,-2.0931,Yale
59,Abigail Shoff,-1.7773,2.2379,0.4606,Saint Mary's (CA)
60,Abigail Wilson,-5.1817,-1.1879,-6.3697,UNC Asheville
61,Abigail Wright,-0.1681,4.6946,4.5265,Harvard
62,Aby Shubert,-2.1445,2.378,0.2335,Montana
63,Acacia Hayes,-1.7957,1.5603,-0.2353,Western Ky.
64,Achol Akot,1.4258,4.2539,5.6797,UCF
65,Achol Magot,0.6797,-1.1606,-0.4809,Texas Tech
66,Adalia McKenzie,2.1455,7.8703,10.0158,Illinois
67,Adalyn Koelling,-1.1878,-0.8811,-2.0689,Murray State
68,Adaora Nwokeji,-0.0508,0.3728,0.322,Princeton
69,Adara Groman,-1.3592,-1.5227,-2.8819,South Dakota
70,Addi Brownfield,-0.5345,-0.237,-0.7715,Western Ill.
71,Addi Melone,-0.3956,-1.3671,-1.7627,Pepperdine
72,Addie Budnik,2.4444,6.7102,9.1546,Richmond
73,Addie Porter,1.6547,1.4202,3.075,Clemson
74,Addisen Mastriano,-0.4928,-0.4522,-0.945,Detroit Mercy
75,Addison Hall,-0.0382,0.1907,0.1525,Eastern Wash.
76,Addison Harris,-0.6557,1.2778,0.6221,Montana State
77,Addison Klosterbuer,-0.5772,-0.9445,-1.5218,South Dakota
78,Addison Martin,-1.1591,5.601,4.4419,Illinois State
79,Addison Melton,-2.6083,1.0249,-1.5834,Lipscomb
80,Addison O'Grady,1.4353,3.1092,4.5446,Iowa
81,Addy Brown,2.8789,10.7902,13.6691,Iowa State
82,Adeang Ring,-0.8497,2.0795,1.2298,UCF
83,Adebukola Akomolafe,-0.9589,0.4714,-0.4874,VCU
84,Adelyn Traylor-Walker,-3.6782,-1.8908,-5.5689,Radford
85,Adena Webster,0.3716,-0.3787,-0.0071,Temple
86,Adhel Tac,-0.772,0.624,-0.148,South Carolina
87,Adiana Pacheco,-0.9953,-2.2259,-3.2212,Marshall
88,Adison Novosel,-0.5148,1.4285,0.9137,Arizona State
89,Adlee Blacklock,-0.374,3.4318,3.0578,Texas Tech
90,Adna Halilbasic,-0.2426,0.1061,-0.1365,Louisiana Tech
91,Adout Ring,-0.7852,-1.2675,-2.0527,Presbyterian
92,Adreanna Waddle,-2.807,-1.5028,-4.3098,Prairie View
93,Adria Lincoln,-2.6055,-0.3836,-2.9891,Montana
94,Adriana Arroyo,-2.4202,1.0037,-1.4165,Eastern Ill.
95,Adriana Blazquez,-0.7542,-0.8029,-1.5571,Murray State
96,Adriana Jones,-0.8406,0.6461,-0.1945,Troy
97,Adriana Shipp-Davis,-1.3313,1.1052,-0.2261,Radford
98,Adrianna Gonzalez,-0.8845,-2.3502,-3.2347,Iona
99,Adryana Quezada,-1.2594,3.9153,2.656,San Diego State
100,Aga Makurat,-0.4191,1.5213,1.1022,Vanderbilt
101,Agnes Emma-Nnopu,2.7998,6.8657,9.6655,TCU
102,Ahnay Adams,1.3048,1.3371,2.6419,Miami (FL)
103,Ahniysha Jackson,-3.3792,3.2654,-0.1138,Siena
104,Aicha Coulibaly,3.418,5.6343,9.0523,Texas A&M
105,Aicha Ndour,-1.0349,-4.3976,-5.4325,Wichita State
106,Aileen Marquez,-4.8278,-2.8092,-7.637,Morehead State
107,Aili Tanke,1.1945,2.1822,3.3767,Iowa State
108,Aima Ofunrein,-2.6408,-0.2132,-2.854,Brown
109,Aimee Flippen,-0.7319,-2.2125,-2.9444,Abilene Christian
110,Aina Grane Torres,0.3791,-1.3983,-1.0192,Boston U.
111,Aina Roque,0.0107,-0.4482,-0.4376,New Hampshire
112,Aina Subirats,-1.4808,-0.4178,-1.8986,Florida A&M
113,Ainaya Williams,-1.2988,-1.9074,-3.2062,Southeast Mo. St.
114,Ainhoa Cea,-1.862,1.5386,-0.3234,Lipscomb
115,Ainsley Holthaus,-0.8061,0.226,-0.5801,Western Ill.
116,Airah Lavy,-6.2005,1.4272,-4.7733,Saint Francis
117,Aisha Dabo,-3.3008,-0.6077,-3.9085,Hampton
118,Aislin Malcolm,-1.1773,-1.0604,-2.2377,Pittsburgh
119,Aislinn Gibson,-0.7912,-1.9181,-2.7093,William & Mary
120,Aislynn Hayes,-4.6421,3.4252,-1.2169,Marshall
121,Aixchel Hernandez,-2.087,0.0066,-2.0804,Cal St. Fullerton
122,Aiyana Mitchell,0.7425,2.7126,3.4551,Vanderbilt
123,Aiyanna Culver,-3.9594,1.5167,-2.4427,Chicago State
124,Aizhanique Mayo,-0.5028,0.8536,0.3508,Xavier
125,Aja Austin,-0.9591,-0.9163,-1.8754,Ohio
126,Ajae Petty,1.4362,5.1288,6.565,Ohio State
127,Ajia James,-0.6097,4.2035,3.5937,N.C. A&T
128,Ajok Madol,0.3396,-1.098,-0.7583,Dayton
129,Akasha Davis,-0.1917,8.8065,8.6148,Lamar University
130,Alahna Paige,-0.0169,2.3803,2.3634,FGCU
131,Alaina Harper,-0.5227,-0.2455,-0.7682,Purdue
132,Alaina Nettles,-2.0263,-0.3998,-2.4261,Charleston So.
133,Alaina Payne,-0.5304,-0.8019,-1.3323,Little Rock
134,Alaina Williams,-0.4302,-3.657,-4.0871,UMBC
135,Alaisha Brown,-2.9714,-0.6176,-3.5889,Denver
136,Alana Andrews,-0.3066,0.2521,-0.0544,Cornell
137,Alana Goodchild,-2.3379,2.6583,0.3204,Santa Clara
138,Alana Goosby,-0.6192,-2.169,-2.7882,Cal Poly
139,Alana Powell,-1.4309,-1.2634,-2.6943,Omaha
140,Alana Rouser,-0.3169,-2.0528,-2.3697,Fla. Atlantic
141,Alana Swift,-1.7887,-1.0906,-2.8792,UNC Asheville
142,Alanah Pooler,-1.4217,-1.3419,-2.7636,Alabama State
143,Alancia Ramsey,-0.8801,5.9615,5.0814,Coastal Carolina
144,Alani Encinas,-0.8205,-0.5519,-1.3724,Portland State
145,Alani Fluker,-0.4533,-2.3064,-2.7597,Tarleton State
146,Alanna Phillipo,-0.323,-2.0426,-2.3656,Eastern Ill.
147,Alannah Chatfield,-1.3175,0.4049,-0.9126,Fresno St.
148,Alarice Gooden,-0.9066,-0.1806,-1.0872,Hofstra
149,Alary Bell,-1.5572,-4.3418,-5.899,Saint Francis
150,Alasia Smith,-0.3313,5.6117,5.2804,Memphis
151,Alaya Fitzgerald,-4.9,0.1322,-4.7678,Portland State
152,Alayna Contreras,-3.3958,4.567,1.1712,Kansas City
153,Alayna Kraus,-1.2393,0.8847,-0.3546,Oral Roberts
154,Alayna Rocco,-0.0416,1.1487,1.1071,Harvard
155,Alba Garcia,-1.4888,0.7484,-0.7404,Charleston So.
156,Alba Martin Mesa,-0.1103,-0.2119,-0.3223,Wisconsin
157,Alberte Rimdal,-2.4476,7.4556,5.0079,Nebraska
158,Albina Syla,-0.328,0.8958,0.5678,Rhode Island
159,Ale Civera,-2.2588,-2.9766,-5.2354,Iona
160,Ale'Jah Douglas,-1.0015,-0.1235,-1.125,Grand Canyon
161,Aleah James,-0.9161,-2.1489,-3.0651,UMES
162,Aleah Snead,-0.932,2.4288,1.4968,Saint Joseph's
163,Aleah Sorrentino,-2.8453,-0.806,-3.6513,Massachusetts
164,Alecia Doyle,-5.1847,1.015,-4.1697,NIU
165,Aleighyah Fontenot,-0.5637,0.6473,0.0836,Southern U.
166,Alejandra Ferreiros,0.0441,-0.3525,-0.3083,Bryant
167,Alejandra Mastral,-1.5804,-2.455,-4.0354,Robert Morris
168,Alejandra Zuniga,-4.7852,4.384,-0.4012,NJIT
169,Alena Fusetti,-0.6488,-3.6263,-4.2751,Mercyhurst
170,Alex Covill,-0.4773,1.2318,0.7545,Washington State
171,Alex Giannaros,-5.1291,2.0378,-3.0913,Boston U.
172,Alex Gitchenko,-1.9895,-3.6074,-5.5969,UMass Lowell
173,Alex McGarrah,-0.1175,0.5491,0.4316,Southeast Mo. St.
174,Alex Moses,-1.0136,-3.2135,-4.227,Canisius
